Wall time,Step,Value
1681898554.2465396,2019,0.008076592348515987
1681899687.3558712,3029,0.00034393853275105357
1681900762.2027705,4039,0.00031170836882665753
1681901824.9151335,5049,0.0003009690553881228
1681902946.4307494,6059,0.00029375465237535536
1681904008.58554,7069,0.00029040934168733656
1681905121.4532237,8079,0.0002868447336368263
1681906245.7233403,9089,0.000284071866190061
1681907369.5956423,10099,0.0002796144690364599
1681908429.1174853,11109,0.00027811151812784374
1681909544.7808795,12119,0.0002792218583635986
1681910610.4719486,13129,0.0002754484594333917
1681911767.627172,14139,0.0002577152044977993
1681912889.3418858,15149,0.0002349164424231276
1681913945.3340087,16159,0.00021711469162255526
1681915081.4998493,17169,0.0001976917847059667
1681916173.136579,18179,0.00017214950639754534
1681917294.930133,19189,0.0001357712462777272
1681918373.8591778,20199,0.00011413683387218043
1681919432.1974576,21209,9.825386223383248e-05
1681920538.0833552,22219,0.00010677339741960168
1681921593.080002,23229,8.671951218275353e-05
1681922656.034709,24239,7.67742603784427e-05
1681923721.2872493,25249,8.246826473623514e-05
1681924785.0115235,26259,7.300754077732563e-05
1681925909.7523146,27269,7.035035378066823e-05
1681927076.06168,28279,6.37422053841874e-05
1681928224.3459086,29289,6.172186840558425e-05
1681929352.4375684,30299,6.301236862782389e-05
1681930426.5138385,31309,6.161115015856922e-05
1681931483.8058262,32319,5.87382419325877e-05
1681932542.29925,33329,5.79124825890176e-05
1681933657.9528031,34339,5.5973629059735686e-05
1681934717.0266373,35349,6.056883285054937e-05
1681935771.4216003,36359,5.618720024358481e-05
1681936826.833211,37369,5.518446414498612e-05
1681937884.2557218,38379,5.371926090447232e-05
1681938945.0681703,39389,5.1515293307602406e-05
1681940070.3987503,40399,5.158056228538044e-05
1681941154.2434866,41409,5.181736560189165e-05
1681942209.4070241,42419,5.0337021093582734e-05
1681943334.4083064,43429,5.04695090057794e-05
1681944419.811734,44439,4.9687114369589835e-05
1681945487.2497368,45449,4.995845665689558e-05
1681946595.3354995,46459,4.91826212964952e-05
1681947648.7573397,47469,4.765194171341136e-05
1681948711.6481595,48479,4.785189594258554e-05
1681949839.5082982,49489,4.720628567156382e-05
1681950931.6843102,50499,4.7656663809902966e-05
1681951991.6914585,51509,4.824561983696185e-05
1681953046.7515473,52519,4.785342753166333e-05
1681954100.685006,53529,4.717472256743349e-05
1681955156.7529342,54539,4.4324664486339316e-05
1681956211.282247,55549,4.804057243745774e-05
1681957265.8880892,56559,5.007634899811819e-05
1681958380.4082484,57569,4.584194175549783e-05
1681959472.002126,58579,4.622858250513673e-05
1681960543.8811648,59589,4.517039633356035e-05
1681961609.6608815,60599,4.5642238546861336e-05
1681962674.5155606,61609,4.451832501217723e-05
1681963739.4283109,62619,4.60005940112751e-05
1681964803.1327922,63629,4.4705939217237756e-05
1681965860.17096,64639,4.769238876178861e-05
1681966927.8169067,65649,4.450281267054379e-05
1681967995.05496,66659,4.364439155324362e-05
1681969059.0261312,67669,4.318665014579892e-05
1681970119.4228168,68679,4.2712305003078654e-05
1681971183.5106995,69689,4.360353705123998e-05
1681972248.1735547,70699,4.194917346467264e-05
1681973319.202713,71709,4.1683786548674107e-05
1681974380.465502,72719,4.207569872960448e-05
1681975440.5952075,73729,4.085120963281952e-05
1681976506.466285,74739,4.048660412081517e-05
1681977568.8875668,75749,4.0934337448561564e-05
1681978626.3510137,76759,4.0994968003360555e-05
1681979690.9553847,77769,4.069890928803943e-05
1681980753.543175,78779,4.0948198147816584e-05
1681981817.164448,79789,4.032053766422905e-05
1681982873.7944605,80799,3.99092459701933e-05
1681983990.5547948,81809,4.060069841216318e-05
1681985052.1262958,82819,3.928064325009473e-05
1681986115.3891795,83829,3.980928522651084e-05
1681987171.5204232,84839,3.875045877066441e-05
1681988224.1575897,85849,3.866308543365449e-05
1681989275.529491,86859,4.0006205381359905e-05
1681990327.4012322,87869,3.9349182770820335e-05
1681991379.248076,88879,3.943451520171948e-05
1681992442.7522783,89889,3.8377271266654134e-05
1681993507.340232,90899,3.995735096395947e-05
1681994561.7953053,91909,3.857018600683659e-05
1681995615.00863,92919,3.887312050210312e-05
1681996674.0466788,93929,3.838858174276538e-05
1681997726.4767447,94939,3.870782893500291e-05
1681998787.5980613,95949,3.8142512494232506e-05
1681999911.857845,96959,3.798752368311398e-05
1682000987.2451015,97969,3.8775342545704916e-05
1682002045.5915067,98979,3.87878499168437e-05
1682003099.6131623,99989,3.769635077333078e-05
1682004153.1180093,100999,3.731423930730671e-05
1682005204.5480676,102009,3.756000296561979e-05
1682006263.8610191,103019,3.7319907278288156e-05
1682007320.2659411,104029,3.717238359968178e-05
1682008375.554146,105039,3.839885539491661e-05
1682009436.785395,106049,3.8051723095122725e-05
1682010495.342711,107059,3.72351823898498e-05
1682011545.4761522,108069,3.764668508665636e-05
1682012597.2522438,109079,3.722812471096404e-05
1682013646.8016312,110089,3.739863677765243e-05
1682014695.8116095,111099,3.720021413755603e-05
1682015747.091441,112109,3.648307028925046e-05
1682016801.4141958,113119,3.5981156543130055e-05
1682017861.9413888,114129,3.6393365007825196e-05
1682018922.1063468,115139,3.680654845084064e-05
1682020028.7722578,116149,3.7486192013602704e-05
1682021084.2257657,117159,3.68143264495302e-05
1682022142.9683049,118169,3.695227860589512e-05
1682023203.613063,119179,3.571090564946644e-05
1682024266.6474638,120189,3.63082617695909e-05
1682025325.1204586,121199,3.557410309440456e-05
1682026377.5145216,122209,3.608281986089423e-05
1682027437.3187194,123219,3.6303365050116554e-05
1682028497.6403773,124229,3.55631455022376e-05
1682029558.1612709,125239,3.54507465090137e-05
1682030618.674231,126249,3.613593435147777e-05
1682031681.372188,127259,3.5094781196676195e-05
1682032734.6662457,128269,3.540413672453724e-05
1682033794.6848822,129279,3.565331280697137e-05
1682034857.4788837,130289,3.4427488571964204e-05
1682035919.512957,131299,4.8279915063176304e-05
1682036976.148508,132309,4.060967330588028e-05
1682038032.2483556,133319,4.117529169889167e-05
1682039090.6770868,134329,3.591323547880165e-05
1682040155.035004,135339,3.5263303288957104e-05
1682041216.9167037,136349,3.5467863199301064e-05
1682042267.144325,137359,3.458417268120684e-05
1682043318.7608469,138369,3.467771239229478e-05
1682044369.6721196,139379,3.4865792258642614e-05
1682045422.8475196,140389,3.447372728260234e-05
1682046475.2069156,141399,3.4745229640975595e-05
1682047526.808343,142409,3.414255479583517e-05
1682048577.3309166,143419,3.4811215300578624e-05
1682049629.7348802,144429,3.4014879929600284e-05
1682050689.075941,145439,3.4203727409476414e-05
1682051769.9603567,146449,3.373818617546931e-05
1682052829.5983748,147459,3.410931094549596e-05
1682053883.1443875,148469,3.4942459024023265e-05
1682054945.051161,149479,3.3559637813596055e-05
1682056009.888649,150489,3.3959164284169674e-05
1682057072.4964058,151499,3.376510358066298e-05
1682058131.174077,152509,3.429613570915535e-05
1682059182.7460706,153519,3.357908644829877e-05
1682060235.5007358,154529,3.3940948924282566e-05
1682061284.6835983,155539,3.3538472052896395e-05
1682062338.199823,156549,3.3365111448802054e-05
1682063389.2983134,157559,3.387931064935401e-05
1682064443.6077292,158569,3.3801810786826536e-05
1682065505.3256133,159579,3.321741314721294e-05
1682066565.8073733,160589,3.3565254852874205e-05
1682067627.7203403,161599,3.281498356955126e-05
1682068682.183219,162609,3.280291275586933e-05
1682069739.2305086,163619,3.308921805000864e-05
1682070800.0106618,164629,3.281123281340115e-05
1682071861.5008492,165639,3.358126923558302e-05
1682072913.8455045,166649,3.323036071378738e-05
1682073984.224252,167659,3.2875421311473474e-05
1682075042.803705,168669,3.28683563566301e-05
1682076094.294394,169679,3.272861067671329e-05
1682077146.799078,170689,3.329138417029753e-05
1682078199.2578385,171699,3.298915908089839e-05
1682079254.5168881,172709,3.238853969378397e-05
1682080310.4005694,173719,3.2817879400681704e-05
1682081378.6410866,174729,3.288954758318141e-05
1682082438.8520453,175739,3.2390533306170255e-05
1682083499.884003,176749,3.239071884308942e-05
1682084554.509443,177759,3.213354284525849e-05
1682085606.554177,178769,3.244441177230328e-05
1682086661.8984327,179779,3.295543501735665e-05
1682087725.02458,180789,3.273288530181162e-05
1682088785.0022004,181799,3.250211739214137e-05
1682089838.0615854,182809,3.268599903094582e-05
1682090900.0790603,183819,3.29362737829797e-05
1682091960.7974527,184829,3.249252768000588e-05
1682093022.4572234,185839,3.241093872929923e-05
1682094074.5748253,186849,3.227632259950042e-05
1682095128.5893488,187859,3.228733839932829e-05
1682096189.2440367,188869,3.2194478990277275e-05
1682097249.2980664,189879,3.305555947008543e-05
1682098311.4927583,190889,3.248716893722303e-05
1682099369.5737045,191899,3.2409672712674364e-05
1682100422.6538408,192909,3.196763645973988e-05
1682101475.0777159,193919,3.2245992770185694e-05
1682102527.266342,194929,3.2201409339904785e-05
1682103587.2495763,195939,3.290724635007791e-05
1682104647.0610332,196949,3.247970016673207e-05
1682105707.7178755,197959,3.197845580871217e-05
1682106764.1892183,198969,3.205619577784091e-05
1682107816.7190495,199979,3.197694240952842e-05
1682108877.2313232,200989,3.141930574201979e-05
1682109937.6748402,201999,3.25948276440613e-05
1682110998.7478988,203009,3.242510138079524e-05
1682112054.2055545,204019,3.249595101806335e-05
1682113118.7293847,205029,3.1569328712066635e-05
1682114177.8528948,206039,3.2244141038972884e-05
1682115236.6891913,207049,3.159351399517618e-05
1682116298.3939533,208059,3.128385651507415e-05
1682117364.2358723,209069,3.18540187436156e-05
1682118423.4602053,210079,3.175455640302971e-05
1682119475.8097222,211089,3.186600224580616e-05
1682120528.7435894,212099,3.183644366799854e-05
1682121587.585971,213109,3.141814158880152e-05
1682122646.9704306,214119,3.142043715342879e-05
1682123706.1190276,215129,3.2020143407862633e-05
1682124756.2237096,216139,3.1679406674811617e-05
1682125807.0686367,217149,3.194839518982917e-05
1682126856.5020576,218159,3.1625459087081254e-05
1682127907.306393,219169,3.166267924825661e-05
1682128956.6447866,220179,3.134144571959041e-05
1682130004.8453567,221189,3.123589704046026e-05
1682131054.1346135,222199,3.148120595142245e-05
1682132111.471354,223209,3.132080382783897e-05
1682133162.7099855,224219,3.1304240110330284e-05
1682134211.2712505,225229,3.1150866561802104e-05
1682135260.462403,226239,3.204561289749108e-05
1682136310.3104508,227249,3.165395901305601e-05
1682137360.9551704,228259,3.1103292712941766e-05
1682138417.0627377,229269,3.129712422378361e-05
1682139473.2819507,230279,3.205845860065892e-05
1682140525.7394161,231289,3.178516271873377e-05
1682141588.772082,232299,3.164618829032406e-05
1682142646.7403939,233309,3.130691038677469e-05
1682143696.8543599,234319,3.1384133762912825e-05
1682144755.4479644,235329,3.114495484624058e-05
1682145813.741106,236339,3.1640993256587535e-05
1682146874.5531704,237349,3.105062205577269e-05
1682147933.2779179,238359,3.153408397338353e-05
1682148983.5200365,239369,3.1498530006501824e-05
1682150036.6191084,240379,3.146559902234003e-05
1682151096.296352,241389,3.126686351606622e-05
1682152167.3303719,242399,3.126982119283639e-05
1682153228.2796202,243409,3.1075775041244924e-05
1682154283.6954925,244419,3.111517435172573e-05
1682155337.5626857,245429,3.0902472644811496e-05
1682156406.1952064,246439,3.0909079214325175e-05
1682157467.845643,247449,3.077081419178285e-05
1682158530.4929702,248459,3.116823063464835e-05
1682159591.461905,249469,3.098610250162892e-05
1682160645.7699378,250479,3.086461947532371e-05
1682161697.3043525,251489,3.10834075207822e-05
1682162749.192805,252499,3.138010288239457e-05
1682163819.1020017,253509,3.081696922890842e-05
