Wall time,Step,Value
1684160669.037325,2021,0.0014441028470173478
1684161729.5384874,3032,7.037584146019071e-05
1684162223.4084797,4043,6.230144208529964e-05
1684162617.5091567,5054,5.69551411899738e-05
1684163201.339466,6065,5.6066834076773375e-05
1684163717.0664752,7076,5.162644083611667e-05
1684164113.4053867,8087,4.916629768558778e-05
1684164566.6306553,9098,4.684647137764841e-05
1684165020.7215466,10109,4.4655593228526413e-05
1684165417.3605943,11120,4.283382440917194e-05
1684165873.626391,12131,4.45090263383463e-05
1684166326.5521188,13142,4.2290252167731524e-05
1684166722.0891957,14153,3.934591222787276e-05
1684167116.2403975,15164,3.925980854546651e-05
1684167510.9082277,16175,3.678517532534897e-05
1684167905.0060985,17186,3.343529533594847e-05
1684168356.2963471,18197,3.157287574140355e-05
1684168751.7194195,19208,2.907206908275839e-05
1684169147.6760514,20219,3.1903557101031765e-05
1684169543.4035234,21230,2.953579132736195e-05
1684169995.086722,22241,2.620339182612952e-05
1684170388.3264387,23252,2.3694925403106026e-05
1684170787.2876718,24263,2.38204920606222e-05
1684171186.189872,25274,2.3435915863956325e-05
1684171583.5909214,26285,2.418654185021296e-05
1684171981.1784985,27296,2.2645721401204355e-05
1684172378.7575283,28307,2.036874502664432e-05
1684172777.5452604,29318,1.9419707314227708e-05
1684173172.9235892,30329,1.836353840189986e-05
1684173568.372332,31340,1.8049615391646512e-05
1684173964.3789546,32351,1.7456750356359407e-05
1684174359.5608418,33362,1.7838778148870915e-05
1684174754.7027984,34373,1.6562868040637113e-05
1684175148.6228366,35384,1.634922591620125e-05
1684175543.2388196,36395,1.618426904315129e-05
1684175996.470231,37406,1.728212919260841e-05
1684176392.1175044,38417,1.608417005627416e-05
1684176789.855628,39428,1.541485653433483e-05
1684177242.3630583,40439,1.5034900570753962e-05
1684177637.8730843,41450,1.5271340089384466e-05
1684178031.522423,42461,1.4535692571371328e-05
1684178425.6250823,43472,1.4253556400944944e-05
1684178817.4116418,44483,1.4233878573577385e-05
1684179211.4026065,45494,1.4915899555489887e-05
1684179606.8113658,46505,1.4327012650028337e-05
1684180002.3981957,47516,1.3439359463518485e-05
1684180396.9056327,48527,1.290357977268286e-05
1684180792.677139,49538,1.2694665201706812e-05
1684181190.7457569,50549,1.366007563774474e-05
1684181587.4094775,51560,1.2872155821241904e-05
1684181985.7113378,52571,1.2701417290372774e-05
1684182381.817194,53582,1.2598997273016721e-05
1684182778.6241062,54593,1.2679760402534157e-05
1684183173.9246504,55604,1.2307841643632855e-05
1684183569.4058504,56615,1.2154822798038367e-05
1684183964.9541013,57626,1.2735732525470667e-05
