x,y,z
-0.04690294,-0.02839928,0.8586942
-0.09374346,-0.05676064,1.7162753
-0.14064291,-0.08515761,2.5749645
-0.1874858,-0.11352019,3.4326487
-0.23438181,-0.141915,4.291336
-0.28121954,-0.1702743,5.148988
-0.3281178,-0.1986703,6.0077786
-0.37495467,-0.22702898,6.8654785
-0.42183667,-0.2554151,7.724038
-0.46873283,-0.28380957,8.582888
-0.5155474,-0.31215465,9.440277
-0.562431,-0.34054154,10.298962
-0.6093088,-0.36892498,11.157573
-0.6562053,-0.39739636,12.015413
-0.7018789,-0.42391184,12.869652
-0.7498243,-0.45400384,13.7314625
-0.79925126,-0.48407695,14.600264
-0.8546644,-0.5155069,15.479573
-0.907287,-0.54647046,16.369404
-0.9609165,-0.5783594,17.268967
-1.0115893,-0.6092402,18.173187
-1.0662563,-0.6387361,19.084118
-1.1186513,-0.6686217,19.997227
-1.1718402,-0.69907755,20.913687
-1.2242793,-0.7287419,21.840425
-1.2808074,-0.7604715,22.774324
-1.3348414,-0.79296714,23.709534
-1.3857473,-0.82092416,24.651752
-1.4366332,-0.84562045,25.596943
-1.4870441,-0.8702122,26.544712
-1.5380251,-0.8971116,27.496271
-1.586551,-0.92541474,28.45466
-1.633363,-0.9555627,29.422932
-1.6809711,-0.98383737,30.398394
-1.7288933,-1.0117718,31.377657
-1.7689761,-1.0363626,32.35714
-1.8158342,-1.0597887,33.336308
-1.8706632,-1.0880157,34.320206
-1.9297801,-1.1298796,35.330967
-1.993748,-1.1945477,36.387505
-2.061112,-1.2498806,37.428493
-2.1269524,-1.3050514,38.471497
-2.1909668,-1.3491414,39.503635
-2.2561147,-1.3930464,40.538536
-2.3299398,-1.4268123,41.561092
-2.3997278,-1.4607304,42.58301
-2.4652138,-1.4895004,43.593006
-2.535885,-1.5228496,44.597885
-2.600016,-1.5598844,45.598804
-2.6618807,-1.5937552,46.59801
-2.7289135,-1.6298163,47.592735
-2.8007936,-1.6645285,48.57855
-2.8713357,-1.6976206,49.555992
-2.9379346,-1.7290124,50.53772
-3.0024626,-1.7667413,51.51844
-3.0658438,-1.7989932,52.495
-3.1301842,-1.83005,53.464962
-3.1915195,-1.8583971,54.428024
-3.248811,-1.8864865,55.391777
-3.3109217,-1.9138404,56.350388
-3.3715138,-1.9382284,57.31251
-3.438994,-1.9567627,58.274006
-3.5113132,-1.9759617,59.225403
-3.5791936,-1.9981107,60.166336
-3.6417844,-2.0215383,61.091263
-3.703384,-2.049158,62.00633
-3.776035,-2.078108,62.91679
-3.84394,-2.112093,63.815197
-3.912602,-2.145352,64.69786
-3.9782279,-2.1738338,65.56672
-4.046625,-2.2014081,66.42162
-4.114442,-2.2308211,67.26455
-4.179994,-2.2583654,68.09328
-4.244856,-2.2833092,68.90994
-4.3130207,-2.307844,69.71423
-4.381934,-2.329475,70.507965
-4.4455085,-2.3553894,71.28435
-4.514874,-2.382089,72.03732
-4.580209,-2.4097288,72.76786
-4.644341,-2.4329796,73.48061
-4.709492,-2.4595208,74.17536
-4.775728,-2.4902744,74.85144
-4.837513,-2.5259526,75.5074
-4.891887,-2.5566516,76.13824
-4.937674,-2.5854666,76.750046
-4.985834,-2.6167395,77.34404
-5.0390353,-2.646046,77.92529
-5.092728,-2.6756966,78.494576
-5.1337967,-2.7018373,79.04946
-5.159767,-2.7292042,79.59223
-5.183352,-2.756797,80.12297
-5.2082634,-2.7800186,80.63447
-5.2352033,-2.8017235,81.1353
-5.2488856,-2.8220844,81.62278
-5.236821,-2.8398595,82.096924
-5.207462,-2.8593025,82.555855
-5.1635356,-2.878,83.00838
-5.1056128,-2.895747,83.454445
-5.029553,-2.911914,83.8852
-4.9346423,-2.9261632,84.31329
-4.8172894,-2.9423604,84.7286
-4.680929,-2.9618502,85.118095
-4.519183,-2.9805405,85.50161
-4.3363338,-2.9952269,85.8536
-4.1300783,-3.0068405,86.199875
-3.9038577,-3.0183465,86.52573
-3.6563694,-3.0309334,86.811966
-3.3930578,-3.0481353,87.09541
-3.1153822,-3.0633526,87.34487
-2.8177896,-3.0745785,87.59389
-2.5081236,-3.0844562,87.819954
-2.1825929,-3.093147,88.008064
-1.8476315,-3.1035411,88.188065
-1.5110519,-3.1165833,88.34379
-1.1655769,-3.1274388,88.50234
-0.81106925,-3.1380482,88.64205
-0.4500209,-3.146276,88.74841
-0.07268217,-3.1504745,88.84042
0.3020956,-3.1566024,88.93095
0.67635006,-3.1668513,89.02362
1.0508959,-3.18519,89.1255
1.4345888,-3.2060099,89.21095
1.8329135,-3.2221215,89.2774
2.2407486,-3.2342255,89.32977
2.6627548,-3.2322001,89.37235
3.0897665,-3.2331207,89.419235
3.5367765,-3.2470193,89.4725
4.002134,-3.269709,89.52089
4.4757776,-3.2920825,89.55636
4.9624677,-3.3116639,89.58372
5.460056,-3.3275847,89.60361
5.97458,-3.3446999,89.62131
6.504631,-3.3627472,89.638565
7.0503893,-3.3797736,89.65504
7.6141005,-3.3949745,89.67184
8.197965,-3.409312,89.688156
8.80092,-3.4262052,89.70198
9.420237,-3.4422886,89.708176
10.059787,-3.460296,89.71698
10.714586,-3.4776518,89.71987
11.388376,-3.4952004,89.72177
12.074627,-3.511621,89.7205
12.781906,-3.5298116,89.727615
13.505015,-3.5495431,89.73902
14.2439575,-3.5700467,89.75275
15.00261,-3.595309,89.776665
15.773691,-3.6213994,89.80561
16.560562,-3.6458497,89.84374
17.354746,-3.6697197,89.88399
18.156525,-3.6964548,89.92984
18.959976,-3.7269957,89.97922
19.768206,-3.7586286,90.03376
