x,y,z
-0.05706378,-0.018737853,0.9214734
-0.15885988,-0.03743297,1.9068465
-0.33331937,-0.055203386,2.9830875
-0.5578896,-0.07942689,3.9513147
-0.91422254,-0.09741593,4.9149904
-1.3497297,-0.115697294,5.9442577
-1.8705846,-0.12000961,6.966125
-2.4230638,-0.123745166,7.843542
-2.9491346,-0.12865126,8.602764
-3.4726005,-0.13339749,9.279621
-4.0654364,-0.13403837,9.960367
-4.73196,-0.13973333,10.680267
-5.4618397,-0.14786078,11.3458395
-6.228069,-0.14829019,11.989289
-6.9827576,-0.14320329,12.543171
-7.8203697,-0.13766828,13.098466
-8.571964,-0.13025685,13.55757
-9.3589945,-0.12110817,13.99247
-10.005538,-0.11784977,14.276514
-10.608476,-0.11954363,14.481954
-11.217176,-0.12136498,14.649292
-11.79239,-0.12364313,14.766071
-12.411272,-0.11766204,14.863413
-12.943372,-0.11752785,14.907466
-13.526223,-0.11643414,14.916578
-14.08007,-0.117547184,14.858457
-14.758005,-0.102019355,14.813285
-15.524469,-0.08627007,14.727103
-16.150784,-0.07413226,14.625077
-16.739595,-0.07027052,14.514242
-17.201513,-0.07102518,14.407497
-17.660385,-0.07195896,14.304035
-18.055262,-0.07776019,14.210428
-19.009287,-0.026572138,14.114047
-19.960138,0.02926113,14.093326
-20.985094,0.09814742,14.136435
-22.098124,0.15837088,14.111446
-23.269955,0.21800016,14.04478
-24.616081,0.30028448,14.010396
-25.90678,0.37587243,13.977844
-27.22314,0.4676349,14.019865
-28.352724,0.5429523,14.057522
-29.2383,0.60158145,14.01098
-30.17843,0.6616612,13.917367
-31.123577,0.73518705,13.785242
-31.883078,0.77653766,13.676413
-33.21221,0.87553763,13.488213
-34.753323,0.9957657,13.264579
-36.36615,1.1283169,13.029903
-37.994293,1.2648287,12.789609
-39.40465,1.3829932,12.590713
-41.03108,1.5196971,12.359271
-42.673134,1.6605029,12.127503
-44.252735,1.796964,11.915638
-45.887756,1.9357724,11.69897
-47.512596,2.0782855,11.493883
-49.17636,2.2229946,11.28923
-50.797016,2.3668768,11.092107
-52.43126,2.5138068,10.897815
-54.051716,2.6545858,10.708972
-55.66104,2.7966642,10.528364
-57.27255,2.9405074,10.3496685
-58.84745,3.0796354,10.184551
-60.39185,3.2182164,10.023154
-62.027443,3.361821,9.853526
-63.642914,3.506229,9.684886
-65.24464,3.6512597,9.518614
-66.95154,3.805665,9.338672
-68.52926,3.9502,9.173054
-70.07624,4.094861,9.009148
-71.88356,4.265612,8.825125
-73.681046,4.4355597,8.646657
-75.44922,4.604114,8.477507
-77.29088,4.7787385,8.3091345
-79.25169,4.971372,8.135256
-81.23584,5.16125,7.965618
-83.021545,5.3346844,7.8254647
-84.87183,5.5159283,7.688156
-86.723175,5.69938,7.5589113
-88.440186,5.8679805,7.4466395
-90.02707,6.0236,7.3465514
-91.63236,6.1792564,7.2498245
-93.57636,6.371435,7.134209
-95.69,6.581357,7.008161
-97.82479,6.80622,6.889312
-99.86875,7.013329,6.786366
-101.71063,7.202651,6.7035975
-103.55863,7.38702,6.6135077
-105.46068,7.58065,6.5187798
-107.16234,7.7520704,6.434295
-109.05157,7.9455137,6.3446903
-110.73548,8.11868,6.258929
-112.47968,8.300498,6.165908
-114.06911,8.467497,6.082207
-115.74297,8.649246,5.9893517
-117.42335,8.831522,5.9033513
-119.05452,9.008577,5.8216677
-120.64771,9.180034,5.747495
-122.258446,9.353735,5.679631
-123.95366,9.539572,5.6123123
