x,y,z
0.020251235,-0.05049096,2.5321112
0.08800425,-0.09182647,4.87961
0.19230014,-0.13396357,7.472707
0.36117962,-0.16955274,9.978683
0.5554341,-0.20401914,12.247242
0.7802292,-0.23689313,14.643578
0.93685937,-0.25901175,15.896643
1.1004225,-0.27808303,17.071672
1.3959751,-0.30582452,18.881687
1.8136284,-0.33722207,21.271109
2.2622826,-0.37120107,23.555618
2.6781597,-0.3942484,25.499004
2.9776056,-0.4149574,26.71072
3.28622,-0.43172297,27.93003
3.5993905,-0.4486213,28.951693
3.948525,-0.47032213,29.932512
4.4048343,-0.4939112,31.08036
4.8877006,-0.5106744,32.244213
5.3673954,-0.52956164,33.305218
6.0482054,-0.5553647,34.74635
6.964629,-0.58763754,36.508785
7.973089,-0.61265546,38.3567
9.017543,-0.646653,40.127506
10.062448,-0.68114084,41.71208
11.322843,-0.7238086,43.46469
12.474351,-0.7539052,44.862083
13.767791,-0.78602934,46.3323
15.645484,-0.81902826,48.365883
17.844519,-0.8546112,50.599037
20.218521,-0.885519,52.89634
22.70989,-0.9014343,55.22522
25.270226,-0.9185147,57.520443
27.657825,-0.92081755,59.592937
30.22022,-0.9209711,61.724747
32.70617,-0.9300962,63.702747
35.036133,-0.93977344,65.48466
37.1927,-0.94509524,67.05457
39.46476,-0.94277614,68.59713
41.722054,-0.94340765,70.01427
44.259003,-0.94025034,71.522575
47.103558,-0.9314855,73.15028
50.07658,-0.9193016,74.76323
53.486168,-0.89831233,76.4946
56.909256,-0.8740783,78.15101
59.846252,-0.8558954,79.49816
63.23447,-0.8251896,80.97188
66.69222,-0.7855395,82.39309
69.950645,-0.7453054,83.64451
73.35956,-0.7018585,84.89324
76.60711,-0.6475008,86.01377
79.834595,-0.5996983,87.08956
83.15201,-0.5454599,88.1704
87.43352,-0.4702604,89.56749
91.48215,-0.38019136,90.86654
95.299515,-0.31918994,92.09224
99.40626,-0.24609882,93.397606
102.60488,-0.17884704,94.39464
105.66703,-0.11365432,95.30342
108.51201,-0.052377947,96.11993
111.41871,0.009679917,96.89238
114.22637,0.07042323,97.62093
117.357124,0.13795409,98.39987
120.482056,0.21092844,99.16786
123.83277,0.28707147,99.98576
126.84033,0.36655405,100.703
129.95177,0.45196754,101.41902
133.1546,0.53989804,102.134186
136.06517,0.62029845,102.78209
139.38072,0.71500194,103.50151
142.4628,0.8132607,104.148834
145.40125,0.9132425,104.743904
148.74667,1.0232025,105.398766
151.79677,1.1240722,105.98535
155.21829,1.2264897,106.5953
158.12216,1.3135468,107.10379
161.20534,1.4096433,107.62478
164.28447,1.5157915,108.137344
167.56917,1.6239794,108.69142
170.70682,1.731938,109.19964
174.19408,1.8618698,109.741516
177.46947,1.9897634,110.23931
180.90207,2.1283073,110.75874
184.43335,2.2858913,111.27001
187.6614,2.4271083,111.744286
190.9947,2.5842505,112.23051
194.42572,2.752273,112.69623
197.83472,2.9180493,113.13371
201.20308,3.0841885,113.557686
204.69565,3.2529812,113.97477
207.79146,3.406292,114.34596
211.05519,3.566918,114.72231
214.57951,3.7479396,115.08145
218.61322,3.9656177,115.46627
222.25696,4.1685367,115.77857
225.39767,4.340871,116.01167
228.79504,4.540447,116.2416
232.1369,4.7220273,116.463776
235.27423,4.890311,116.66109
238.39943,5.05557,116.84596
241.64453,5.2411714,116.99906
244.7592,5.4240723,117.12311
248.11987,5.623551,117.24403
251.10773,5.806442,117.35662
253.94783,5.9787464,117.44877
257.0813,6.1731033,117.54718
260.0302,6.3599434,117.627464
263.06998,6.5603223,117.690636
265.9069,6.7482567,117.74319
268.7296,6.9322205,117.795715
271.18246,7.0901423,117.8208
273.66168,7.255897,117.81213
276.44702,7.4346385,117.77178
279.53342,7.6408134,117.695595
282.60345,7.8388624,117.58586
285.36853,8.016707,117.46819
288.20425,8.201477,117.333885
291.08966,8.382655,117.17241
293.99268,8.574617,116.99993
297.24475,8.787391,116.796
300.26456,8.99508,116.58255
303.48685,9.213693,116.322426
306.70444,9.436934,116.029755
