x,y,z
-0.0020691706,-0.017266829,0.9658095
-0.0024735027,-0.034915384,1.9514965
-0.0011604844,-0.049345028,2.911992
0.009668297,-0.06759563,3.987762
0.023805354,-0.08474918,5.0683627
0.046885587,-0.10464241,6.13102
0.0778151,-0.12343106,6.951127
0.109971955,-0.1420375,7.595213
0.14468208,-0.15208244,7.8813915
0.18546805,-0.16636133,8.452579
0.21885954,-0.18465427,9.014418
0.26275355,-0.19954377,9.543436
0.30824116,-0.21884876,10.089339
0.36488354,-0.23825628,10.441005
0.40358907,-0.24950169,10.66748
0.44630328,-0.2630117,11.056482
0.525105,-0.2732649,11.451183
0.60679466,-0.29035732,11.914506
0.6644166,-0.3096214,12.208039
0.8289696,-0.323546,12.788629
0.97023803,-0.33602932,13.179077
1.1582581,-0.3484823,13.632783
1.3853974,-0.36264747,14.16806
1.467788,-0.37361312,14.356792
1.7094817,-0.3815982,14.794861
1.9886259,-0.38968322,15.254212
2.2439492,-0.39964077,15.629911
2.7270763,-0.41499415,16.397808
3.1857433,-0.4334756,17.071424
3.6903188,-0.44693413,17.767422
4.22999,-0.46296522,18.47492
4.7613153,-0.47900775,19.14463
5.2295833,-0.49190414,19.708588
5.73071,-0.50388634,20.282179
6.1032553,-0.5156915,20.696117
6.596677,-0.530006,21.223972
7.127989,-0.5455499,21.774832
7.552779,-0.5570792,22.184908
8.063164,-0.5711321,22.67713
8.617144,-0.584294,23.183271
9.147769,-0.59685665,23.651552
9.708687,-0.6068013,24.12104
10.23251,-0.6213969,24.567211
10.811691,-0.63591754,25.026571
11.412106,-0.6499519,25.491697
11.895027,-0.6648116,25.85067
12.45397,-0.67539763,26.250792
12.911397,-0.68864495,26.571375
13.435727,-0.6988103,26.918743
13.894379,-0.7077313,27.212376
14.442161,-0.7216215,27.563055
15.085393,-0.73325884,27.964586
15.704408,-0.74343044,28.326614
16.392147,-0.7505917,28.71743
17.042278,-0.75749,29.061901
17.636793,-0.76712364,29.37515
18.280155,-0.7762197,29.70948
18.761782,-0.78687817,29.953764
19.305838,-0.7975191,30.226997
19.873688,-0.8049371,30.496191
20.455555,-0.808723,30.749063
21.229053,-0.80926955,31.06382
22.000937,-0.8143536,31.353107
22.779924,-0.8185036,31.622746
23.607876,-0.8210229,31.887321
24.631123,-0.8170477,32.207184
25.552742,-0.81355464,32.47928
26.46371,-0.812537,32.752277
27.567587,-0.8118183,33.08465
28.502457,-0.81104684,33.355957
29.288342,-0.8123442,33.57016
30.205212,-0.8115934,33.82667
30.991615,-0.8140092,34.04755
31.740395,-0.81585604,34.26496
32.52906,-0.81962186,34.4907
33.459156,-0.8231693,34.762672
34.399654,-0.82814234,35.04676
35.35239,-0.83381873,35.343395
36.280396,-0.83950835,35.637386
37.194283,-0.8468033,35.933083
38.307003,-0.85250926,36.291115
