x,y,z
0.0025661767,-0.045678966,2.2085648
0.018567601,-0.08812423,4.3348565
0.049743786,-0.12815419,6.5821652
0.08725086,-0.16921209,8.674446
0.12983297,-0.20705381,10.728303
0.1817263,-0.25039563,12.915997
0.23847055,-0.29385403,15.091025
0.30226076,-0.3368972,17.493853
0.3510839,-0.37085357,19.204565
0.40667692,-0.40760347,21.077393
0.47211775,-0.44362065,23.140202
0.5525684,-0.4925438,25.440638
0.61231256,-0.529983,27.317026
0.6696523,-0.57565844,29.464762
0.7162731,-0.61801755,31.561363
0.76165414,-0.6772105,33.890343
0.79620147,-0.7290977,35.919075
0.83517367,-0.7816816,38.09686
0.8626103,-0.8323598,40.07473
0.9059015,-0.88601625,42.154118
0.9594107,-0.9374334,44.35859
1.0165167,-0.9844594,46.45186
1.0639373,-1.0245842,48.176735
1.0961633,-1.0617723,49.808712
1.1260775,-1.0960095,51.3999
1.141815,-1.1358219,53.013775
1.154746,-1.1718538,54.68228
1.1591991,-1.2163267,56.42767
1.1599321,-1.2568305,58.11206
1.1482584,-1.2964449,59.7525
1.1257167,-1.3390741,61.374958
1.0865054,-1.3837954,63.063824
1.0395879,-1.4216951,64.72786
0.9841195,-1.462213,66.32092
0.91861874,-1.4987788,67.92626
0.84076476,-1.5419027,69.52976
0.7559029,-1.5822364,71.040665
0.65699327,-1.6203178,72.763626
0.5532043,-1.6565711,74.36559
0.43126258,-1.6955338,76.214226
0.30646455,-1.730073,77.9369
0.17930128,-1.772473,79.744644
0.05293274,-1.8145869,81.53215
-0.08393209,-1.853087,83.444244
-0.20223838,-1.8895371,85.11179
-0.31342643,-1.9230467,86.799545
-0.43681413,-1.9634559,88.81354
-0.529617,-1.9960493,90.48708
-0.61897093,-2.0280924,92.11953
-0.7169965,-2.0692494,93.83509
-0.8246134,-2.1116755,95.71824
-0.9072046,-2.1430771,97.20611
-0.9988939,-2.1760757,98.65696
-1.0967858,-2.210277,100.13477
-1.1952047,-2.2431927,101.60728
-1.3093396,-2.2831807,103.28733
-1.4158794,-2.3191864,104.94069
-1.518832,-2.3574662,106.57273
-1.5833685,-2.387938,107.81272
-1.6258514,-2.4194622,109.055046
-1.6370317,-2.4455526,109.97632
-1.6231742,-2.4765756,110.672966
-1.5995415,-2.5112846,111.364815
-1.5394888,-2.5427876,112.35684
-1.4778035,-2.5811114,113.38754
-1.4012225,-2.613867,114.22604
