x,y,z
0.0046076244,-0.019267527,1.360857
0.009271765,-0.040068343,2.709779
0.011543192,-0.06075281,3.976509
0.013819047,-0.0857422,5.2524776
0.015421316,-0.11108282,6.583292
0.017646598,-0.13729422,7.9413
0.013573699,-0.16658267,9.273913
0.0072180894,-0.19927293,10.630523
0.0016365903,-0.2350004,11.987422
-0.004947996,-0.2717574,13.325697
-0.016809914,-0.31578663,14.715561
-0.031743668,-0.3594502,16.085766
-0.048319526,-0.39987502,17.422148
-0.06861043,-0.4441346,18.794703
-0.08801413,-0.48235935,20.161385
-0.11033183,-0.53470266,21.570196
-0.13433124,-0.591286,23.0248
-0.15202352,-0.64456916,24.436356
-0.17003062,-0.700522,25.791468
-0.18988928,-0.75375277,27.226429
-0.20586191,-0.8032277,28.64166
-0.22063792,-0.85693115,30.112726
-0.23414087,-0.91477215,31.534483
-0.24867485,-0.98494536,32.987873
-0.26041025,-1.0572951,34.416344
-0.27590933,-1.139495,35.858837
-0.28383878,-1.214304,37.287613
-0.29597297,-1.2936044,38.76413
-0.3094968,-1.3716444,40.19619
-0.31989685,-1.4480399,41.588085
-0.32561105,-1.5251535,42.99111
-0.3302188,-1.5961413,44.434456
-0.33562183,-1.6727973,45.885906
-0.34017313,-1.7415646,47.32907
-0.34856263,-1.8146992,48.75026
-0.35175976,-1.8815273,50.167862
-0.35582802,-1.9446523,51.595425
-0.36440715,-2.0170338,53.044308
-0.3691644,-2.0827253,54.482746
-0.37606612,-2.1564882,55.942635
-0.38079613,-2.2274628,57.38553
-0.38249668,-2.3015316,58.802853
-0.38108227,-2.3767848,60.241837
-0.37634832,-2.4510832,61.662838
-0.3722625,-2.5202265,63.08126
-0.36786208,-2.6025233,64.54621
-0.35899752,-2.6826823,65.97925
-0.35101333,-2.767443,67.394356
-0.3417092,-2.8552716,68.823296
-0.33343455,-2.9414499,70.24108
-0.32455868,-3.0265076,71.68097
-0.31500435,-3.105785,73.087395
-0.30826458,-3.1882336,74.543655
-0.3009767,-3.275122,75.97729
-0.29368407,-3.3660693,77.38451
-0.28420624,-3.4519317,78.74489
-0.27441096,-3.546286,80.10241
-0.25959426,-3.6372,81.44959
