x,y,z
0.019356525,-0.05382195,2.8473036
0.018534243,-0.110586815,5.6733236
0.014828494,-0.11307804,8.609137
0.05192867,-0.15987442,11.217199
0.09000081,-0.19531684,14.083902
0.14886697,-0.22691882,16.531979
0.19042003,-0.24885067,19.434431
0.28180152,-0.24925436,22.225487
0.32472742,-0.24444576,24.783245
0.41422898,-0.24861522,27.340546
0.48389557,-0.21646267,30.070328
0.53701925,-0.16371326,32.968067
0.6185474,-0.13984351,35.565853
0.7313301,-0.1041684,38.331837
0.8304199,-0.055062488,40.838737
0.91508573,0.0077167302,43.71123
1.0292505,0.07652187,46.604492
1.0985519,0.13011119,49.0971
1.2006238,0.19720596,51.585625
1.2732251,0.30099863,54.219093
1.4094865,0.36215585,56.891544
1.5138446,0.47420773,59.682594
1.6205516,0.5837551,62.667587
1.7111683,0.6785977,65.28902
1.7834687,0.80464923,67.95672
1.8479731,0.95102155,70.75587
1.9361368,1.0989958,73.39658
1.9829618,1.2275908,75.889465
2.0200918,1.3595488,78.207985
2.103877,1.5028177,80.62532
2.2174585,1.6629062,83.200226
2.3051255,1.8035855,85.84968
2.3945253,1.9505417,88.38632
2.4858851,2.099753,91.37726
2.569361,2.270595,94.24526
2.6648104,2.42188,97.051414
2.7539897,2.5499206,99.9042
2.8494685,2.7047887,102.419
2.9561582,2.9132767,105.06657
3.043672,3.071563,107.74359
3.146019,3.2032802,110.263695
3.2417254,3.3806162,112.798775
3.3449452,3.5353293,115.18544
3.4344227,3.69754,117.682655
3.5118518,3.8812327,120.08862
3.6112616,4.053873,122.4866
3.727985,4.2831383,125.19069
3.8449368,4.513859,127.774345
3.9571757,4.761094,130.45848
4.0692363,4.9808254,133.08195
4.159265,5.219891,135.61029
4.2541075,5.4560375,138.14551
4.3537803,5.7243724,140.82173
4.448261,5.9567504,143.4506
4.541668,6.1918964,145.87706
4.64172,6.437088,148.48933
4.734286,6.7123594,151.04523
4.807425,6.9741206,153.592
4.9193354,7.259886,156.2269
5.0384865,7.534057,158.85777
5.147706,7.8207417,161.3722
5.217662,8.116357,163.9683
5.3117137,8.36525,166.18361
5.4186783,8.6364355,168.60489
5.4784536,8.857428,170.74579
5.5836716,9.153183,173.40355
5.6785254,9.387201,175.60887
5.737773,9.646569,177.8991
5.8215265,9.931588,180.26585
5.892337,10.228784,182.7546
5.968774,10.514313,185.09442
6.0308685,10.822617,187.43307
6.0786023,11.107937,189.74779
6.0950713,11.427986,192.09608
6.1005797,11.727719,194.46416
6.0815067,12.021332,196.72913
6.1047673,12.325188,199.10567
6.100713,12.652125,201.33669
6.112676,12.966402,203.55975
6.1042356,13.27298,205.77556
6.1084385,13.573907,207.82974
6.124666,13.942036,210.09009
6.152131,14.299588,212.2827
6.189595,14.667762,214.6037
6.2010546,15.047129,216.98245
6.219638,15.433271,219.36009
6.2118535,15.858361,221.81532
6.240118,16.306139,224.34048
6.244568,16.750021,226.98927
6.2674627,17.126667,229.3633
6.2727346,17.501104,231.78586
6.2537994,17.955992,234.42279
6.2320294,18.393257,236.88403
6.2127213,18.80367,239.39873
6.2205873,19.212585,241.80986
6.2034626,19.629862,244.44865
6.1663036,20.043802,246.95378
6.1033325,20.501488,249.67403
6.032662,20.97907,252.38466
5.952926,21.435976,254.98232
5.8672743,21.91756,257.6706
5.779649,22.385832,260.3482
5.7032857,22.866388,263.19812
5.631885,23.386879,266.05338
5.5640163,23.861252,268.552
5.543086,24.324987,271.1143
5.55789,24.751894,273.56052
5.5110316,25.328165,276.51373
5.523707,25.893345,279.2835
5.5560346,26.417427,281.91312
5.579555,26.891804,284.38617
5.6095524,27.346148,286.59958
5.646894,27.847944,289.092
5.694004,28.442852,291.70325
5.775323,29.019888,294.33594
5.810861,29.641563,297.10513
5.8409657,30.182209,299.4983
5.8712835,30.77088,302.06015
5.8959856,31.34776,304.5514
