x,y,z
-0.004596714,-0.002001524,0.09154274
-0.01001116,-0.0043597035,0.18573728
-0.017533712,-0.0068596643,0.28346714
-0.028631922,-0.006726659,0.38730994
-0.042736974,-0.007303014,0.50113946
-0.060000096,-0.00806547,0.62793577
-0.08275694,-0.008994999,0.7669395
-0.10904969,-0.01033982,0.9191805
-0.1415335,-0.01195088,1.081913
-0.1816057,-0.01604515,1.2513778
-0.2325643,-0.02265364,1.4256427
-0.293459,-0.031164296,1.6041398
-0.36165124,-0.039333582,1.7886399
-0.43662432,-0.043135084,1.9792311
-0.52249193,-0.04573639,2.1730201
-0.620094,-0.049022324,2.368741
-0.72484505,-0.051407434,2.565689
-0.83949333,-0.05397789,2.7582848
-0.968759,-0.05101001,2.9504156
-1.1036329,-0.046762347,3.1420844
-1.2427639,-0.042926744,3.3331046
-1.3924749,-0.042389646,3.523027
-1.5644459,-0.044919837,3.7062662
-1.7615677,-0.04899413,3.8807015
-1.9693606,-0.05141143,4.0494967
-2.1878347,-0.05358748,4.2158823
-2.4155269,-0.053189177,4.382389
-2.6631458,-0.052870397,4.540773
-2.9291143,-0.05283791,4.687679
-3.2155113,-0.05138933,4.8244333
-3.517838,-0.048775546,4.948177
-3.8369539,-0.04505664,5.0572696
-4.177129,-0.038788483,5.153466
-4.5343337,-0.033250738,5.2337923
-4.9110737,-0.02945441,5.302449
-5.299327,-0.026977535,5.3609405
-5.7013555,-0.023030847,5.401691
-6.122089,-0.01604268,5.421287
-6.558992,-0.005757047,5.4276705
-7.0090895,0.0061915684,5.424014
-7.4734235,0.016251102,5.4106936
-7.9504066,0.023064174,5.3892794
-8.444607,0.03066416,5.35364
-8.953001,0.040574707,5.3107247
-9.480372,0.05248987,5.263865
-10.023015,0.06141727,5.211223
-10.579206,0.06596194,5.153071
-11.152736,0.069364,5.0883555
-11.739406,0.07855467,5.025875
-12.344114,0.09123038,4.9648366
-12.964265,0.10267141,4.901808
-13.600143,0.10951615,4.835676
-14.251634,0.11782402,4.7672195
-14.913403,0.12961474,4.697357
-15.593712,0.1450796,4.6299934
-16.29097,0.16222513,4.5632963
-17.004768,0.17701848,4.494624
-17.73321,0.19055909,4.4265265
-18.471819,0.20927495,4.359244
-19.224258,0.2305551,4.290979
-19.988317,0.25031847,4.2231164
-20.773087,0.2703512,4.1619234
-21.564466,0.28802454,4.1002107
-22.364178,0.30622327,4.035955
-23.164139,0.32161492,3.9710128
-23.969486,0.33420548,3.9089634
-24.789457,0.34925324,3.8490455
-25.618847,0.36150923,3.7860725
-26.461348,0.3717693,3.7163355
-27.307535,0.38549867,3.6447444
-28.152853,0.4028811,3.5695329
-28.9976,0.41941684,3.4928896
-29.83719,0.43700597,3.4184513
-30.674223,0.45665994,3.3460376
-31.51584,0.476385,3.2719808
-32.3544,0.49172503,3.198812
-33.195152,0.5076449,3.1236165
-34.026245,0.52418953,3.0512512
-34.860023,0.5386698,2.9803479
-35.696373,0.55003166,2.910611
-36.533436,0.55795443,2.8431265
-37.373734,0.57077736,2.7750595
-38.21474,0.5878611,2.7069738
-39.04916,0.6055645,2.6388435
-39.881653,0.6246494,2.5722451
-40.711685,0.6464852,2.5047941
-41.538372,0.6640162,2.436142
-42.365173,0.6807219,2.3630598
-43.1914,0.6977475,2.2901926
-44.015163,0.7092779,2.223671
-44.838802,0.72069776,2.1608968
-45.661182,0.73319507,2.0966082
-46.48332,0.7434441,2.0282428
-47.30741,0.75341356,1.9591112
-48.1233,0.76469105,1.8904825
-48.933113,0.7767198,1.8202851
-49.7355,0.7874182,1.7406851
-50.53249,0.7989919,1.6593558
-51.328674,0.81264186,1.5752938
-52.122726,0.82194823,1.4937415
-52.91586,0.8317681,1.4167964
-53.701916,0.84195244,1.3374681
-54.483955,0.84949136,1.2589836
-55.26299,0.86013436,1.1846915
-56.038036,0.86967236,1.1107452
-56.810703,0.88202214,1.0326256
-57.57456,0.89569867,0.9565276
-58.330353,0.910653,0.88305163
-59.077553,0.92345405,0.8099966
-59.81036,0.9337787,0.7359574
-60.53655,0.9432165,0.6623558
-61.245445,0.95080006,0.5919377
-61.94029,0.95651,0.5237502
-62.620186,0.96072805,0.4617086
-63.285473,0.9654737,0.40883106
-63.93542,0.9696713,0.36228615
-64.57044,0.974212,0.3201778
-65.189865,0.9801815,0.28594875
-65.79131,0.9882435,0.26275757
-66.37559,0.99665105,0.2555575
-66.93697,1.0037105,0.26461023
-67.47667,1.0092113,0.29416043
-67.99045,1.0138116,0.34555024
-68.48207,1.0164759,0.4164716
-68.95405,1.019823,0.5048719
-69.403694,1.0215417,0.61107886
-69.84839,1.0239267,0.74195576
-70.2704,1.0243356,0.8955649
-70.68163,1.0238866,1.0807327
-71.068535,1.0258864,1.285734
-71.45137,1.0323607,1.5135484
-71.814125,1.0402896,1.7538201
-72.17068,1.0455476,2.013636
-72.50735,1.0491824,2.2969317
-72.81064,1.0521853,2.6017597
-73.10848,1.0522124,2.9086509
-73.38517,1.0519893,3.2208052
-73.65924,1.0560794,3.5543642
-73.91325,1.0587513,3.911248
-74.165794,1.0578532,4.300527
-74.40163,1.0570743,4.718484
-74.61507,1.0534551,5.1557956
-74.825516,1.044842,5.623115
-75.01808,1.0381169,6.11021
-75.20549,1.0358341,6.6180596
-75.37981,1.0302801,7.151939
-75.53921,1.020132,7.706059
-75.691864,1.0104499,8.281055
-75.83688,1.0046858,8.87437
-75.980576,0.996631,9.486382
-76.12214,0.98894566,10.112164
-76.25793,0.98127216,10.75518
-76.37891,0.976807,11.41495
-76.49283,0.97344667,12.091456
-76.60191,0.9705942,12.784175
-76.70258,0.96508265,13.494023
-76.79645,0.9546459,14.212451
-76.88448,0.9437277,14.9454
-76.96449,0.93522465,15.6877985
-77.04076,0.9267523,16.446785
-77.11857,0.91330796,17.2185
-77.19864,0.8975325,17.99353
-77.271835,0.8859408,18.767479
-77.33705,0.87655693,19.533949
-77.40227,0.86736804,20.301445
-77.46356,0.859519,21.072392
-77.52095,0.8514174,21.84289
-77.57321,0.84081286,22.61427
-77.62191,0.82790744,23.377592
-77.67655,0.8191236,24.1382
-77.734,0.8046686,24.898043
-77.789406,0.79031205,25.654709
-77.845924,0.77393746,26.421837
-77.90857,0.75084627,27.180595
-77.96875,0.72936976,27.939157
-78.019844,0.7137022,28.691929
-78.06446,0.6969655,29.440598
-78.10947,0.6798731,30.192694
-78.155235,0.66473913,30.94561
-78.197845,0.6476731,31.701214
-78.24208,0.6301597,32.46405
-78.29473,0.61490583,33.2307
-78.345985,0.5990494,34.000843
-78.39902,0.5789946,34.77676
-78.44948,0.5641513,35.561428
-78.50691,0.54736084,36.347446
-78.57124,0.5285258,37.143375
-78.63589,0.5110133,37.937416
-78.70011,0.49407995,38.73512
-78.762405,0.4825662,39.54591
-78.82832,0.46461466,40.364426
-78.89563,0.44614488,41.194557
-78.959595,0.433899,42.030514
-79.02868,0.4207785,42.874165
-79.10006,0.40398848,43.724613
-79.17101,0.38889349,44.578815
-79.24638,0.37565482,45.438503
-79.31834,0.36392507,46.29907
-79.38463,0.3498925,47.16283
-79.44498,0.33443436,48.03153
-79.508316,0.32099232,48.901928
-79.57346,0.30278862,49.778805
-79.63362,0.28674722,50.65615
-79.69712,0.27203932,51.529305
-79.76439,0.2574373,52.396492
-79.8333,0.24085684,53.254658
-79.9001,0.22009677,54.11336
-79.96935,0.19229609,54.965477
-80.0323,0.16493061,55.818924
-80.09244,0.14080347,56.670494
-80.1553,0.11610782,57.526756
-80.22216,0.0923309,58.377617
-80.28057,0.075096324,59.212967
-80.33841,0.059139457,60.04252
-80.402756,0.040002692,60.8721
-80.47371,0.018263362,61.69554
-80.549416,-0.0037466418,62.51351
-80.62058,-0.026327046,63.32773
-80.69572,-0.054532472,64.13615
-80.77778,-0.08380448,64.94494
-80.859344,-0.10908173,65.75264
-80.94485,-0.13605157,66.559135
-81.03375,-0.15738781,67.36335
-81.123085,-0.175586,68.15984
-81.21883,-0.19136068,68.948654
-81.31651,-0.20422104,69.739395
-81.4213,-0.21748568,70.52016
-81.54193,-0.23056053,71.29176
-81.66336,-0.24263503,72.05929
-81.78311,-0.2550767,72.82177
-81.91056,-0.26918152,73.58458
