x,y,z
0.11536792,-0.0139480755,0.95728683
0.21972997,-0.042187154,2.0384898
0.36803934,-0.0713651,3.16661
0.4367178,-0.10032435,4.351319
0.5151737,-0.13046776,5.725073
0.5417759,-0.14216663,6.944477
0.5028439,-0.15199563,8.251294
0.45040494,-0.15569766,9.767274
0.35032755,-0.18782808,11.533373
0.25035006,-0.19418567,13.22537
0.11818147,-0.2131471,15.019985
-0.057798177,-0.232276,16.959827
-0.3143627,-0.24345897,18.924042
-0.6556958,-0.2726463,21.0172
-1.029484,-0.30498564,22.839748
-1.451717,-0.33029568,24.755533
-1.9376484,-0.3558679,26.656565
-2.441205,-0.35881057,28.60302
-2.9746616,-0.37634623,30.508839
-3.5521264,-0.38075262,32.26884
-4.1558943,-0.39010745,34.12718
-4.7879953,-0.37254643,36.028725
-5.43707,-0.36821723,37.927097
-6.2507315,-0.34147197,40.242558
-6.976696,-0.3443233,42.174503
-7.6607294,-0.33728465,43.953568
-8.487498,-0.32205456,46.030243
-9.307134,-0.3098992,48.025135
-10.044383,-0.28941602,49.785988
-10.881064,-0.2843398,51.746746
-11.637191,-0.25193852,53.46671
-12.446985,-0.23772502,55.27569
-13.21544,-0.19225173,57.003937
-14.1135,-0.15559104,58.949917
-15.038737,-0.113717616,60.92838
-15.931103,-0.07308598,62.787975
-16.722511,-0.027692035,64.434746
-17.489643,-0.013238549,66.04473
-18.436806,0.018566966,67.976395
-19.388712,0.049589403,69.84507
-20.411137,0.08100735,71.829056
-21.475805,0.10026041,73.84463
-22.467028,0.15864494,75.8249
-23.459301,0.20552665,77.70895
-24.456066,0.24630329,79.5809
-25.528187,0.30676323,81.563065
-26.628496,0.3403779,83.5954
-27.72671,0.39688453,85.59149
-28.876043,0.459585,87.70337
-30.013832,0.54235303,89.74307
-31.022936,0.626023,91.516815
-32.259617,0.6980491,93.65482
-33.426704,0.82646286,95.66381
-34.653286,0.9572549,97.70836
-35.7928,1.0686673,99.59055
-37.07173,1.2115135,101.73083
-38.35964,1.3912694,103.86105
-39.56664,1.5168436,105.87794
-40.80748,1.6534806,107.91664
-42.08118,1.7861329,110.04729
-43.327545,1.9183224,112.04578
-44.509655,2.0441089,113.938965
-45.89116,2.2045422,116.139114
-47.197758,2.3315377,118.20357
-48.53729,2.48032,120.31529
-49.98502,2.6703317,122.58125
-51.213314,2.8311448,124.46514
-52.516075,2.971179,126.438644
-53.718895,3.088392,128.30122
-55.064476,3.251197,130.33954
-56.490997,3.4283276,132.51146
-57.890423,3.577803,134.55853
-59.38132,3.7388666,136.72543
-60.778225,3.8962364,138.63237
-62.283512,4.033594,140.68816
-63.84741,4.1848693,142.75507
-65.37835,4.362628,144.76736
-67.02225,4.5414467,146.87837
-68.5289,4.682715,148.76668
-70.10128,4.835375,150.77771
-71.65953,5.004304,152.74725
-73.360565,5.184533,154.81009
-75.031075,5.361443,156.80702
-76.75017,5.564806,158.84644
-78.49618,5.7774568,160.9004
-80.21535,5.981013,162.91696
-81.813255,6.1941257,164.81119
-83.62533,6.415818,166.94856
-85.342995,6.6167936,169.00119
-87.05109,6.8147655,170.99652
-88.69334,6.9823985,172.90375
-90.34074,7.155483,174.78635
-91.94218,7.3145623,176.60841
-93.60694,7.4806657,178.48102
-95.19458,7.669258,180.26778
-96.98631,7.871142,182.25024
-98.55525,8.049256,183.93541
-100.00329,8.210567,185.54153
-101.67237,8.40868,187.355
-103.22514,8.569082,189.03836
-104.702866,8.742008,190.62608
-106.35951,8.951032,192.38885
-108.08579,9.124054,194.19193
-109.67563,9.290404,195.85107
-111.35894,9.468255,197.55365
-112.83708,9.652184,199.00801
-114.43182,9.836713,200.57469
-115.86863,9.982239,201.9859
-117.558846,10.196936,203.62354
-119.249176,10.407441,205.24539
-120.932816,10.596345,206.85841
-122.58901,10.798273,208.4606
-124.32697,10.972119,210.07921
-126.388885,11.2053585,211.95479
-128.39972,11.4430065,213.7873
-130.00224,11.627638,215.23056
-131.67036,11.8163395,216.7195
-133.39674,11.999062,218.22882
-135.22913,12.215118,219.80867
-136.9387,12.41302,221.29088
-138.57382,12.601305,222.67012
-140.46376,12.791695,224.22176
-142.07233,12.93342,225.51953
-143.83241,13.068323,226.86595
-145.56577,13.187739,228.17023
-147.38126,13.342123,229.51212
-149.4429,13.493096,231.02193
-151.55182,13.687797,232.54085
-153.45003,13.830147,233.86284
-155.26602,13.98099,235.15639
-157.42511,14.131589,236.67894
-159.46147,14.2985325,238.04156
-161.63443,14.492229,239.49211
-163.77574,14.629131,240.93091
-165.74994,14.7980585,242.25534
-167.67047,14.93727,243.53831
-169.7417,15.094262,244.91942
-171.82938,15.282696,246.2819
-173.9337,15.458321,247.62932
-176.11343,15.667008,249.05956
-178.17552,15.863031,250.36766
-180.13094,16.070707,251.60431
-182.17393,16.290903,252.85008
-184.15723,16.488739,254.1028
-185.88985,16.67557,255.1976
-187.87581,16.88266,256.45773
-189.87302,17.102636,257.72372
-191.81142,17.328815,258.92062
-193.71935,17.54755,260.12967
-195.65988,17.795187,261.34085
-197.61047,18.0637,262.57352
-199.58603,18.350065,263.81982
-201.58376,18.658566,265.17648
-203.52696,18.984425,266.4786
-205.35643,19.349115,267.76413
-207.32823,19.780113,269.18973
-209.17606,20.227804,270.5483
-210.85124,20.660086,271.85815
-212.5234,21.162836,273.2195
-214.04161,21.681387,274.48434
-215.50179,22.27793,275.81982
-216.95453,22.955736,277.23587
-218.28934,23.617094,278.59857
-219.60141,24.331303,280.02875
-220.96722,25.095488,281.5286
-222.16823,25.863354,282.9247
-223.45264,26.647278,284.42142
-224.69193,27.463963,285.92386
-225.88852,28.292316,287.3855
-227.16487,29.19891,288.97598
-228.34665,30.076536,290.49463
-229.40138,30.881653,291.9095
-230.46655,31.756775,293.37128
-231.57355,32.724987,294.96112
-232.57458,33.645447,296.46136
-233.55954,34.598587,297.96362
-234.54996,35.606934,299.54224
-235.48132,36.60636,301.0917
-236.38808,37.610725,302.63507
-237.26102,38.586323,304.13818
-238.11488,39.60424,305.6414
-238.97362,40.678688,307.21014
-239.89294,41.894188,308.93176
-240.71321,43.048138,310.56656
-241.51904,44.25336,312.2138
-242.22005,45.40678,313.76376
-242.89465,46.674656,315.39188
-243.43094,47.80102,316.79068
-243.87138,48.83817,318.08
-244.2958,50.011234,319.47266
-244.65326,51.123985,320.76776
-244.89174,52.264355,322.03937
-245.04207,53.370506,323.19778
-245.12611,54.444942,324.27557
-245.04594,55.628273,325.40656
-244.9288,56.972275,326.64313
-244.7565,58.18789,327.7484
-244.47229,59.440605,328.8671
-244.05974,60.872913,330.09467
-243.60506,62.332344,331.28394
-243.08148,63.80654,332.47083
-242.42482,65.49426,333.75592
-241.73767,67.129486,334.98087
-240.98041,68.91977,336.33746
-240.26682,70.53512,337.52905
-239.51035,72.2101,338.7437
-238.69633,73.90353,339.93665
-237.92468,75.46217,341.02832
-236.96085,77.43707,342.33716
-236.04358,79.19875,343.46722
-235.15506,80.94312,344.57578
-234.32484,82.48155,345.5306
-233.28934,84.27499,346.61282
-232.27138,85.95727,347.59845
-231.21953,87.6643,348.59277
-230.14168,89.3838,349.54797
-229.01881,91.0461,350.46204
-227.87662,92.722786,351.3465
-226.73752,94.439606,352.23846
-225.71622,95.91913,352.97293
-224.63379,97.4548,353.74802
-223.49506,98.97702,354.4643
-222.37805,100.4752,355.13266
-221.141,102.03752,355.78745
-219.90532,103.53671,356.36517
-218.64825,104.96851,356.8069
-217.37263,106.37936,357.27942
-215.89743,107.95188,357.77444
-214.47963,109.412056,358.2
-212.98257,111.02881,358.65262
-211.65213,112.43537,359.03186
-210.3563,113.81053,359.4053
-208.94458,115.29997,359.78223
-207.55853,116.792595,360.1779
-206.15549,118.30218,360.57068
-204.7583,119.811905,360.97968
-203.37291,121.335335,361.3783
-202.09683,122.73915,361.7342
-200.5186,124.43956,362.1434
-199.08978,125.97653,362.51395
-197.65224,127.538475,362.88824
-196.25345,129.06293,363.27365
-194.77965,130.71367,363.68738
-193.19524,132.485,364.091
-191.62209,134.25165,364.50174
-190.02084,136.07657,364.89545
-188.32727,138.00003,365.31772
-186.75526,139.81813,365.67053
-185.14734,141.6427,365.98785
-183.53627,143.45288,366.32895
-182.03761,145.16882,366.58707
-180.44044,146.95168,366.92072
-178.8854,148.717,367.2201
-177.35143,150.44197,367.47388
-175.84392,152.0859,367.72855
-174.53217,153.54764,367.91647
-172.96625,155.2898,368.1508
-171.47047,156.95656,368.36328
-170.07579,158.50374,368.5431
-168.59636,160.13461,368.7293
-167.13881,161.70804,368.92636
-165.68631,163.31578,369.13943
-164.26822,164.86998,369.31625
-162.7018,166.56482,369.5309
-161.30971,168.07718,369.69748
-159.74936,169.72945,369.84518
-158.25233,171.3661,369.97815
