x,y,z
-0.0021156687,-0.013967636,0.8716151
-0.010290337,-0.029703815,1.7820654
-0.023093265,-0.043988068,2.653406
-0.03733609,-0.062587805,3.5846956
-0.05714074,-0.075500235,4.439195
-0.07694987,-0.087953866,5.318742
-0.10458748,-0.10470468,6.2039065
-0.13418815,-0.118128575,7.07428
-0.16747491,-0.1344676,7.9505234
-0.20248748,-0.15176927,8.822819
-0.23781782,-0.17059949,9.753633
-0.27350992,-0.1896435,10.667734
-0.30949923,-0.20971736,11.623622
-0.3459991,-0.22828077,12.574575
-0.37886897,-0.24733455,13.470598
-0.411767,-0.26267502,14.331957
-0.44732878,-0.28226918,15.227582
-0.48220503,-0.30350554,16.167738
-0.51725036,-0.3255089,17.092028
-0.5502869,-0.34999248,18.025414
-0.58237565,-0.3771522,18.929575
-0.6148258,-0.40622962,19.82224
-0.6509869,-0.43601948,20.7307
-0.68527937,-0.46742117,21.683727
-0.7223867,-0.49489492,22.562315
-0.77205896,-0.53558654,23.688354
-0.81908137,-0.5764458,24.794151
-0.86817944,-0.6185363,25.908953
-0.91717505,-0.661497,27.037413
-0.96731764,-0.70365834,28.188765
-1.0170735,-0.7466162,29.326849
-1.0662708,-0.79187644,30.475689
-1.1124599,-0.838324,31.61277
-1.1498983,-0.8727656,32.496475
-1.2006376,-0.9207294,33.662235
-1.2481921,-0.9655442,34.79179
-1.2943532,-1.0109866,35.903065
-1.3431244,-1.0576086,36.98398
-1.3946954,-1.1052396,38.046246
-1.4473063,-1.1496392,39.09295
-1.5055112,-1.1953537,40.15715
-1.5720682,-1.2452769,41.254787
-1.6430984,-1.2935815,42.33888
-1.7195561,-1.347564,43.473423
-1.7901146,-1.399152,44.598896
-1.8508306,-1.4446514,45.527596
-1.9090204,-1.4895856,46.427483
-1.9824911,-1.5493253,47.561405
-2.040118,-1.5965039,48.47244
-2.0944061,-1.6419727,49.38874
-2.1500862,-1.6879272,50.316124
-2.1999784,-1.7326295,51.208076
-2.2688532,-1.7918973,52.333244
-2.3382974,-1.8545955,53.46059
-2.395468,-1.9053003,54.397423
-2.4619284,-1.9670535,55.52287
-2.5178201,-2.0161695,56.43754
-2.5745325,-2.0643456,57.38287
-2.629768,-2.113962,58.31328
-2.6891227,-2.1693087,59.341606
-2.741073,-2.220763,60.27539
-2.791773,-2.2700136,61.200676
-2.8415475,-2.3198867,62.115597
-2.894777,-2.369322,63.03488
-2.9448256,-2.4168437,63.90375
-2.9987082,-2.4680474,64.81382
-3.046384,-2.5176394,65.725235
-3.1075046,-2.5825772,66.85753
-3.1720228,-2.6504939,67.97984
-3.2223787,-2.7030385,68.89498
-3.2730215,-2.7573352,69.809
-3.3254135,-2.8151598,70.73919
-3.3695192,-2.8669565,71.587456
-3.4131448,-2.920794,72.447205
-3.4579377,-2.9801178,73.354416
-3.5029068,-3.0400214,74.26563
-3.548563,-3.1021116,75.201866
-3.5901825,-3.1610477,76.06846
