x,y,z
0.0125248125,-0.025947183,1.5113809
0.014589863,-0.044274177,3.2183912
0.020089976,-0.064544044,4.7619014
0.018336723,-0.08655104,6.234068
0.017185561,-0.1058457,7.766436
0.019749131,-0.12959498,9.1616745
0.016272428,-0.14936051,10.66275
0.022094097,-0.16993113,12.214889
0.01860099,-0.17689992,13.766775
-0.0018010363,-0.18359031,15.333836
-0.01976936,-0.19200772,16.940458
-0.05327946,-0.19735372,18.54124
-0.08550145,-0.19607548,20.183147
-0.1170716,-0.19567083,21.740438
-0.14201312,-0.20245247,23.214588
-0.180906,-0.2054127,24.678505
-0.21226895,-0.20468983,26.208958
-0.24162108,-0.20003477,27.753914
-0.26738358,-0.2000011,29.27441
-0.30352876,-0.19462991,30.71667
-0.35113585,-0.17937277,32.16849
-0.40033406,-0.17054477,33.633316
-0.4479594,-0.16329792,35.22364
-0.5043395,-0.14118834,36.739506
-0.5585651,-0.13331513,38.256413
-0.60886514,-0.10604745,39.764755
-0.6712815,-0.07969628,41.22219
-0.7434255,-0.05044266,42.688576
-0.8117486,-0.023835212,44.11273
-0.8826598,0.015780628,45.620995
-0.9513455,0.0516569,47.0159
-1.0203887,0.08317627,48.4755
-1.0889674,0.107837856,49.82308
-1.1625113,0.15253888,51.16881
-1.2241086,0.19830552,52.497612
-1.2840971,0.23889792,53.771667
-1.3467743,0.2823089,55.050457
-1.3992319,0.32023895,56.294876
-1.4577632,0.37281612,57.526115
-1.5177217,0.41665938,58.789978
-1.5731561,0.4592132,59.963913
-1.6259966,0.514277,61.160347
-1.6774272,0.5616021,62.39147
-1.7150577,0.6141142,63.603874
-1.7242595,0.6634563,64.70555
-1.7170526,0.71816057,65.739525
-1.7098429,0.7741682,66.792114
-1.6975994,0.82548434,67.832756
-1.678369,0.8820782,68.86538
-1.6378056,0.94381946,69.92984
-1.5930449,0.9966443,70.88388
-1.5421777,1.0591496,71.86666
-1.4982544,1.1105645,72.71805
-1.429685,1.1725097,73.67736
-1.3740131,1.2195979,74.492714
-1.3003306,1.2759932,75.33484
-1.2208395,1.3259081,76.109276
-1.1468492,1.3708035,76.7552
-1.0540044,1.4183784,77.484055
-0.97012,1.4724357,78.25222
-0.8575214,1.5353924,79.054184
-0.7482138,1.5963544,79.836205
-0.60774314,1.6633607,80.63894
-0.5048993,1.7196913,81.30152
-0.38575327,1.7778085,81.98734
-0.2596296,1.8424544,82.705444
-0.12445773,1.9030238,83.40911
0.02015841,1.960154,84.03406
0.16178645,2.0278747,84.74386
0.3197546,2.0878763,85.40102
0.50581366,2.1586204,86.131805
0.70915055,2.2352328,86.902626
0.9143822,2.3126924,87.616585
1.1179218,2.3792236,88.28741
1.3351424,2.4531646,88.98163
1.6053741,2.5352159,89.775734
1.8928952,2.625162,90.59175
2.2324371,2.7323701,91.539925
2.5399466,2.828514,92.39936
2.8443635,2.9224596,93.157715
3.16751,3.019938,93.99329
3.519313,3.1266131,94.882034
3.8950772,3.231387,95.772156
4.3023486,3.3511667,96.70637
4.6829643,3.4682362,97.55539
5.00025,3.5617878,98.228485
5.299822,3.6495826,98.87314
5.6522593,3.7425144,99.58214
6.058412,3.8565803,100.427605
6.489623,3.9820955,101.32838
6.9474673,4.1107287,102.25857
7.391253,4.2443314,103.1729
7.8181458,4.3641334,104.033745
8.280274,4.5050836,104.96786
8.768627,4.657135,105.94781
9.210138,4.7970777,106.85778
9.711594,4.9557986,107.87672
10.197809,5.1111226,108.85818
10.668463,5.263587,109.80305
11.141744,5.411955,110.73475
11.592884,5.5633383,111.628624
12.05418,5.715971,112.5332
12.48608,5.8662734,113.38792
12.927913,6.019598,114.26775
13.395852,6.1784267,115.19494
13.930557,6.369631,116.2462
14.504251,6.573132,117.39917
14.987439,6.7478366,118.376495
15.501843,6.9332676,119.40147
16.019222,7.1387115,120.47659
16.585999,7.347038,121.609604
17.186237,7.5720124,122.83465
17.700386,7.773603,123.90565
18.234396,7.994667,125.01721
18.783089,8.227615,126.169876
19.269169,8.437197,127.20229
19.799894,8.661989,128.34521
20.352766,8.912472,129.5591
20.91396,9.177522,130.79085
21.475431,9.438402,132.01201
21.959784,9.67521,133.1014
22.42604,9.901946,134.13066
22.9223,10.15593,135.25888
23.412815,10.402191,136.3466
23.928745,10.658467,137.47324
24.40797,10.903151,138.5275
24.885176,11.157713,139.61559
25.408436,11.433188,140.78656
25.904037,11.704561,141.91077
26.398472,11.972444,143.04816
26.90118,12.25299,144.20027
27.380346,12.518116,145.30319
27.834715,12.771227,146.34406
28.316828,13.029834,147.41203
28.81942,13.308866,148.52917
29.34542,13.600291,149.68861
29.83415,13.866545,150.7609
30.331749,14.134338,151.85358
30.830517,14.411838,152.9662
31.300991,14.663956,154.0024
31.744492,14.914375,154.98843
32.196697,15.171408,155.99188
32.642937,15.42397,156.98575
33.080254,15.6846895,157.96819
33.545197,15.95792,158.98578
34.03881,16.24922,160.07838
34.549816,16.559381,161.24225
35.03221,16.846756,162.31245
35.468864,17.109873,163.26962
35.909027,17.37383,164.23149
36.34172,17.638754,165.16899
36.776165,17.908333,166.12288
37.198402,18.172873,167.04523
37.65146,18.454857,168.034
38.08334,18.73113,169.00378
38.53588,19.018496,170.0
39.021976,19.334213,171.0638
39.487476,19.647507,172.09152
39.905727,19.93043,173.0318
40.3887,20.257118,174.1006
40.832066,20.549412,175.0694
41.276928,20.847845,176.02602
41.704983,21.135223,176.92291
42.10984,21.407948,177.78679
42.52958,21.69092,178.67393
42.99221,21.999613,179.62674
43.462616,22.310698,180.6007
43.933266,22.633278,181.5755
44.465816,22.997799,182.67282
44.988983,23.346605,183.70584
45.51249,23.708815,184.74504
46.027477,24.054617,185.75072
46.54301,24.402178,186.75496
47.060036,24.75811,187.78262
47.560326,25.103394,188.7672
48.040943,25.431173,189.70287
48.520092,25.757534,190.62038
49.01053,26.094982,191.57002
49.48904,26.438894,192.51385
49.996937,26.803772,193.49629
50.498558,27.175337,194.48036
50.984215,27.509428,195.39377
