x,y,z
0.0012891277,-0.01821616,1.310643
0.00044483203,-0.04203318,2.6252987
0.0020375806,-0.06302801,3.9417295
0.0027778917,-0.08483759,5.2610164
0.0041579274,-0.10146779,6.581638
0.007571022,-0.11658739,7.9087744
0.008323818,-0.1328035,9.238962
0.007728338,-0.14976488,10.56963
0.0067809178,-0.16345468,11.904259
0.0034193948,-0.17674798,13.24208
-0.0018621841,-0.19592017,14.580479
-0.005851758,-0.21776018,15.93066
-0.004267718,-0.23641397,17.282223
0.0004827869,-0.25374743,18.63469
0.0050060856,-0.26991004,19.9867
0.0041346853,-0.29310915,21.34127
-0.0007654778,-0.32222968,22.705751
-0.00736933,-0.34681186,24.072104
-0.009719273,-0.36874238,25.448685
-0.0050611906,-0.3871398,26.820303
0.0019622645,-0.40993842,28.194723
0.005281586,-0.43289757,29.570126
0.007939016,-0.45911777,30.949848
0.006827064,-0.48501325,32.33532
0.008305158,-0.51223665,33.717808
0.010173384,-0.54311585,35.110836
0.012119381,-0.57462317,36.507896
0.015114756,-0.5999005,37.905895
0.016968489,-0.6238525,39.30156
0.01942947,-0.6437119,40.70437
0.019163415,-0.67072445,42.111
0.021344282,-0.69413185,43.518578
0.02622362,-0.71785796,44.928207
0.03086034,-0.7390249,46.341263
0.034080293,-0.76103145,47.757034
0.033592187,-0.78398556,49.179626
0.031755295,-0.8056349,50.60218
0.028957922,-0.82654077,52.0283
0.02536973,-0.84538347,53.457153
0.020829324,-0.8668316,54.884636
0.016808607,-0.8868801,56.3166
0.013229006,-0.90724427,57.7455
0.010075247,-0.9249469,59.17365
0.0065241284,-0.94460356,60.603184
0.0027640907,-0.96474844,62.027958
-0.0013083604,-0.98781013,63.45199
-0.0028737176,-1.0081751,64.87188
-0.0059540784,-1.0297002,66.28941
-0.010020472,-1.050203,67.70311
-0.019364584,-1.076075,69.11593
-0.027022932,-1.0978311,70.53
-0.035134617,-1.1182312,71.93977
-0.042146713,-1.1359872,73.33985
-0.04677611,-1.1533113,74.74245
-0.05327701,-1.1772261,76.1445
-0.054585353,-1.197942,77.54078
-0.052873496,-1.2180351,78.93495
-0.049542766,-1.2366551,80.32545
-0.048832383,-1.2582871,81.71095
-0.04838835,-1.2786762,83.097206
-0.052691028,-1.300031,84.48366
-0.06072036,-1.320245,85.86561
-0.07518077,-1.3436952,87.250145
-0.084376566,-1.3629822,88.62908
-0.09813268,-1.38264,90.00633
-0.1110479,-1.3997809,91.37522
-0.12833554,-1.4180588,92.74126
-0.14546077,-1.4359637,94.10337
-0.16970527,-1.4561898,95.46073
-0.1913414,-1.4762126,96.813774
-0.21203192,-1.4964775,98.1654
-0.23440617,-1.5176826,99.51507
-0.24857213,-1.5349983,100.860214
-0.26940274,-1.5560174,102.205315
-0.28676084,-1.5752465,103.54583
-0.3053264,-1.5960454,104.884415
-0.3153963,-1.6132983,106.22072
-0.3343094,-1.6384314,107.56522
-0.35081393,-1.6612747,108.90634
-0.37377697,-1.6867385,110.244545
-0.39431584,-1.7101015,111.57656
-0.41371387,-1.7339967,112.904976
-0.4219693,-1.7539858,114.22856
-0.42959088,-1.775004,115.56006
-0.43347895,-1.7942299,116.892944
-0.43341622,-1.811794,118.227356
-0.43061483,-1.8258473,119.56126
-0.43341577,-1.8463223,120.90446
-0.4472944,-1.8809292,122.26835
-0.45607564,-1.9100305,123.624146
-0.46225628,-1.9403255,124.983444
-0.46413434,-1.9662955,126.337036
-0.47085097,-2.0060263,127.69243
-0.47181082,-2.0383434,129.04955
-0.4742814,-2.0731893,130.40694
-0.47012696,-2.099489,131.75563
-0.4656953,-2.127702,133.10962
-0.46510458,-2.1629322,134.4613
-0.46612126,-2.198388,135.8145
-0.46449697,-2.2263088,137.16049
-0.4645738,-2.254854,138.5123
-0.4641821,-2.2817488,139.86249
-0.46744332,-2.3148656,141.21278
-0.47045892,-2.3418856,142.56207
-0.47470367,-2.367454,143.90976
-0.47890294,-2.395023,145.25764
-0.48139408,-2.426592,146.60095
-0.48441663,-2.4629683,147.95363
-0.48328587,-2.4893656,149.30284
-0.48880017,-2.5186162,150.64793
-0.49798703,-2.545627,151.99152
-0.51399136,-2.5817912,153.33711
-0.5203421,-2.611884,154.68411
-0.5188391,-2.6414483,156.03275
-0.5104887,-2.666162,157.38274
-0.49960634,-2.6891491,158.73174
-0.49089107,-2.711382,160.07841
-0.48487753,-2.7367787,161.4288
-0.48365337,-2.760603,162.7786
-0.47678205,-2.7872531,164.1293
-0.46878576,-2.8106663,165.48051
-0.45992807,-2.8355572,166.83882
-0.4494857,-2.8619852,168.1998
-0.44244537,-2.8865592,169.56
-0.43897337,-2.9142392,170.91957
-0.41115582,-2.93273,172.28386
-0.38811338,-2.9607701,173.65254
-0.37793148,-2.986447,175.02885
-0.35887957,-3.008538,176.40836
-0.3405322,-3.013912,177.78496
-0.32140556,-3.0229518,179.16043
-0.31365585,-3.041122,180.54175
-0.30900088,-3.062099,181.92114
-0.31405774,-3.088157,183.30956
-0.31865716,-3.114465,184.70363
-0.31413186,-3.1375542,186.0991
-0.30872905,-3.164477,187.49847
-0.30893406,-3.1939442,188.89998
-0.30702248,-3.2218573,190.30446
-0.30300558,-3.2505295,191.71248
-0.30075717,-3.2811618,193.12099
-0.29793516,-3.3141344,194.53937
-0.2945315,-3.344374,195.95885
-0.29550618,-3.3845568,197.38058
