x,y,z
-0.046110366,-0.037290376,1.9051769
-0.1721471,-0.07857627,3.7936323
-0.32946682,-0.108287185,5.437007
-0.574953,-0.14464508,7.557969
-0.84900796,-0.17604879,9.407495
-1.201894,-0.1962215,11.354114
-1.5650252,-0.21427205,13.072134
-2.0163822,-0.24248734,15.023364
-2.4411783,-0.27191073,16.715149
-2.9071577,-0.29743245,18.481668
-3.3167553,-0.3225753,19.966759
-3.661315,-0.34488183,21.156506
-4.0456805,-0.36690426,22.414154
-4.430133,-0.39116508,23.585901
-4.880419,-0.41423827,24.947878
-5.511722,-0.44763964,26.844965
-6.08872,-0.4790902,28.624249
-6.7458944,-0.5181931,30.646402
-7.1740913,-0.5371338,31.895111
-7.6846657,-0.5641466,33.339134
-8.244139,-0.5916749,34.89668
-8.830393,-0.6170978,36.51193
-9.44954,-0.642184,38.211945
-10.190583,-0.68206304,40.225822
-10.904127,-0.71136713,42.141827
-11.581245,-0.73663956,43.97859
-12.3054,-0.76251715,45.932495
-13.047864,-0.7873604,47.935513
-13.74985,-0.81238955,49.811203
-14.473992,-0.8430835,51.77523
-15.111448,-0.87747294,53.511497
-15.809028,-0.9167659,55.449165
-16.485245,-0.9549992,57.340508
-17.17924,-0.9838213,59.296467
-17.881725,-1.0189836,61.270454
-18.634508,-1.0520898,63.38955
-19.349133,-1.0864149,65.427
-20.01629,-1.1225094,67.29646
-20.630215,-1.150516,69.01815
-21.347288,-1.1836977,71.02254
-21.994123,-1.2088667,72.841606
-22.60009,-1.2398769,74.49397
-23.163994,-1.2742513,75.95762
-23.801867,-1.3085387,77.5747
-24.46311,-1.34133,79.16608
-25.185192,-1.3741641,80.86367
-26.01749,-1.4086727,82.8071
-26.832197,-1.4399276,84.69137
-27.693117,-1.4682772,86.70129
-28.51408,-1.4964452,88.61511
-29.354406,-1.5246372,90.5582
-30.254833,-1.56598,92.62193
-31.189922,-1.6036015,94.72996
-32.042355,-1.641397,96.63817
-32.917683,-1.6856321,98.59282
-33.763344,-1.7284368,100.48244
-34.695404,-1.7776855,102.56867
-35.652695,-1.8205775,104.70044
-36.512005,-1.8657823,106.63732
-37.382526,-1.9113339,108.65888
-38.220665,-1.951845,110.652016
-39.136868,-2.0046806,112.846535
