x,y,z
0.0071692527,-0.010517141,0.4309349
0.009462003,-0.021147417,0.9567563
0.008666007,-0.0290381,1.4653357
0.003895816,-0.038760707,2.0074825
-0.007477136,-0.04785527,2.4982083
-0.028893476,-0.052358676,2.7946677
-0.075307645,-0.051802564,3.052486
-0.12123419,-0.05757186,3.4598322
-0.1813769,-0.06269766,3.92843
-0.26064456,-0.07236124,4.3594003
-0.36623436,-0.086631216,4.966017
-0.48161626,-0.09630242,5.549994
-0.59896505,-0.107266545,6.0586734
-0.72712106,-0.11321621,6.555374
-0.8634429,-0.1193898,7.0041246
-1.0123553,-0.12755379,7.4270287
-1.1212487,-0.13101691,7.7185917
-1.2510433,-0.13996989,8.100656
-1.3984665,-0.14178032,8.488061
-1.5318328,-0.14295676,8.78539
-1.6593479,-0.14504866,9.085865
-1.7953203,-0.15021917,9.385985
-1.8785211,-0.15222837,9.512425
-2.0416775,-0.16038264,9.85403
-2.2856476,-0.17489189,10.371639
-2.5040252,-0.18403512,10.768377
-2.7151046,-0.189678,11.119016
-2.8866107,-0.19402571,11.3919325
-3.1496072,-0.2051917,11.828219
-3.4208105,-0.21680008,12.251459
-3.6730466,-0.22638772,12.63181
-3.9550123,-0.2399435,13.058674
-4.1980495,-0.2492426,13.485244
-4.4756045,-0.26248994,13.987805
-4.673988,-0.2741841,14.394803
-4.862458,-0.2861896,14.81569
-5.0391793,-0.2980757,15.178397
-5.2557025,-0.31128144,15.549886
-5.4969373,-0.32267633,15.943433
-5.6033196,-0.32625705,16.0396
-5.7894735,-0.33907235,16.276579
-6.0700173,-0.35587713,16.665144
-6.4151974,-0.37325677,17.161419
-6.8370843,-0.39581868,17.756645
-7.2710056,-0.41959244,18.36734
-7.758642,-0.44436744,19.048887
-8.259635,-0.46980405,19.74932
-8.7474785,-0.49539748,20.431683
-9.249395,-0.5222283,21.132948
-9.773615,-0.55178297,21.867376
-10.294455,-0.57962745,22.60161
-10.809392,-0.60773945,23.328537
-11.3109045,-0.63443965,24.034985
-11.822955,-0.6613534,24.75692
-12.355611,-0.6904942,25.507853
-12.918604,-0.72209656,26.303272
-13.470445,-0.7545443,27.08423
-14.0024395,-0.7838924,27.841196
-14.509538,-0.8117492,28.56616
-15.04185,-0.8426835,29.329544
-15.575264,-0.8737149,30.097767
-16.121777,-0.9049381,30.886086
-16.642601,-0.9374859,31.640116
-17.15584,-0.9674952,32.386757
-17.713486,-1.0017387,33.19805
-18.263731,-1.0369505,34.001133
-18.76828,-1.0686487,34.744167
-19.267433,-1.099437,35.47897
-19.712942,-1.1269584,36.137012
-20.190924,-1.1555362,36.843437
-20.725094,-1.1896393,37.636616
-21.219402,-1.2210644,38.373825
-21.721441,-1.2519798,39.125282
-22.21824,-1.2840682,39.86904
-22.720715,-1.3168166,40.624203
-23.20594,-1.3479916,41.35777
-23.69173,-1.3775288,42.0936
-24.168562,-1.4066379,42.818638
-24.630047,-1.4355009,43.52532
-25.099998,-1.4650011,44.248188
-25.58503,-1.4954798,44.995956
-26.07465,-1.5252995,45.753334
-26.554916,-1.5551698,46.496414
-27.044428,-1.5858643,47.25536
-27.529781,-1.6154145,48.008232
-28.01659,-1.6445383,48.768097
-28.50141,-1.6742928,49.525707
-28.992134,-1.7040246,50.296055
-29.484217,-1.7353859,51.073174
-29.957645,-1.764671,51.82288
-30.427109,-1.793458,52.5702
-30.909498,-1.8240474,53.340454
-31.385172,-1.8537892,54.104446
-31.86576,-1.8818045,54.877003
-32.32608,-1.9076765,55.61994
-32.76167,-1.9319836,56.323353
-33.21003,-1.957045,57.047012
-33.661503,-1.9838121,57.776623
-34.11214,-2.0112462,58.50938
-34.57397,-2.0394068,59.26049
-35.03115,-2.0664535,60.008568
-35.48777,-2.092532,60.756237
-35.948593,-2.11787,61.514362
-36.394024,-2.142871,62.249374
-36.847248,-2.1664894,62.999126
-37.30894,-2.1897993,63.76372
-37.760334,-2.213552,64.51066
-38.196407,-2.236678,65.237976
-38.64332,-2.261554,65.98408
-39.09707,-2.2875605,66.7431
-39.55704,-2.313988,67.5124
-40.030136,-2.3412979,68.30804
-40.488987,-2.368696,69.080124
-40.907364,-2.394418,69.787315
-41.310535,-2.419957,70.472145
-41.701862,-2.4470172,71.14137
-42.060795,-2.4713836,71.76451
-42.417713,-2.4972026,72.39644
-42.789154,-2.526091,73.07644
-43.13342,-2.5514727,73.72698
-43.417397,-2.57303,74.293106
-43.69087,-2.5921016,74.8617
-43.952393,-2.6104786,75.426865
-44.19482,-2.6268985,75.98043
-44.399673,-2.6408465,76.49856
-44.586872,-2.655953,76.98125
-44.740967,-2.6662138,77.4657
-44.820404,-2.6709232,77.74335
-44.91785,-2.6779153,78.04905
-45.019753,-2.6831665,78.3787
-45.118935,-2.6915088,78.72959
-45.230774,-2.6947393,79.15652
-45.36417,-2.7040315,79.65646
-45.45705,-2.7092607,80.07152
-45.52495,-2.7126362,80.43133
-45.61312,-2.7148352,80.89987
-45.71142,-2.721043,81.427376
-45.79963,-2.7255065,81.98842
-45.894386,-2.7270749,82.61409
-45.978527,-2.7299595,83.24461
-46.050694,-2.7308676,83.82999
-46.109436,-2.728845,84.3712
-46.186813,-2.729957,85.05759
-46.24191,-2.7306216,85.58622
-46.29866,-2.7271736,86.17524
-46.348694,-2.7264426,86.73282
-46.394684,-2.7254348,87.33479
-46.45307,-2.722724,88.07133
-46.50663,-2.719487,88.808235
-46.554012,-2.7166884,89.494865
-46.59155,-2.714246,90.14552
-46.639187,-2.7101934,90.952965
-46.67843,-2.7037647,91.6684
-46.713707,-2.697329,92.36426
-46.750046,-2.691408,93.09241
-46.781532,-2.6846266,93.81372
-46.811417,-2.6785028,94.578125
-46.84412,-2.6714244,95.49789
-46.87452,-2.6643462,96.42441
-46.903267,-2.6567786,97.358795
-46.931637,-2.6499052,98.24489
-46.961697,-2.6436582,99.20956
-46.992012,-2.633843,100.19129
-47.017784,-2.624276,101.064224
-47.042038,-2.6151037,101.91558
-47.062447,-2.60853,102.694695
-47.084038,-2.5989676,103.43792
-47.10441,-2.5903454,104.15381
-47.128113,-2.5810652,104.97111
-47.150646,-2.572968,105.774704
-47.17077,-2.5648532,106.54292
-47.188484,-2.5573306,107.29236
-47.206097,-2.547162,108.0432
-47.218372,-2.5382679,108.77115
-47.22786,-2.5284214,109.50672
-47.233192,-2.5187387,110.222466
-47.234562,-2.5095758,110.88546
-47.23448,-2.4983263,111.61145
-47.23315,-2.4855478,112.36002
-47.229908,-2.4730303,113.13696
-47.22536,-2.4592638,113.927444
-47.220776,-2.4459088,114.75412
-47.21622,-2.4322743,115.612625
-47.211582,-2.4158483,116.483154
-47.207146,-2.4009407,117.32414
-47.205402,-2.3877358,118.09424
-47.20541,-2.3755758,118.9604
-47.207577,-2.3643963,119.74121
-47.210743,-2.350881,120.52797
-47.213783,-2.3382921,121.41502
-47.21909,-2.3257608,122.32099
-47.22306,-2.3097124,123.38327
-47.23015,-2.2892675,124.46606
-47.23736,-2.269859,125.55883
-47.24767,-2.250715,126.609634
-47.258976,-2.23474,127.71746
-47.271275,-2.2151818,128.7061
-47.285675,-2.1956604,129.76328
-47.29899,-2.1773903,130.70245
-47.311726,-2.1599998,131.56386
-47.32356,-2.1434455,132.44556
-47.336506,-2.126323,133.30722
-47.34964,-2.1090255,134.1649
-47.363194,-2.0940356,135.03163
-47.376728,-2.0770805,135.8858
-47.391273,-2.0602965,136.74449
-47.405586,-2.0445058,137.58485
-47.421753,-2.0244935,138.51393
-47.439278,-2.004302,139.58185
-47.460083,-1.9847708,140.6591
-47.48371,-1.9595591,141.70325
-47.506912,-1.9407914,142.68683
-47.527855,-1.9238256,143.54662
-47.549324,-1.9077663,144.39001
-47.569736,-1.8925569,145.22894
-47.59037,-1.8789042,146.05559
-47.611687,-1.8668278,146.8816
-47.63297,-1.8558404,147.70738
-47.654842,-1.8453456,148.50261
-47.678715,-1.8353078,149.30052
-47.705128,-1.8260844,150.10524
-47.730247,-1.8170065,150.89603
-47.75512,-1.8091093,151.66295
-47.781292,-1.8027166,152.41075
-47.81253,-1.7963096,153.19238
-47.845814,-1.7886223,153.97748
-47.877754,-1.7822398,154.72903
-47.910362,-1.7772752,155.46733
-47.945477,-1.77282,156.23145
-47.98118,-1.7685586,156.9684
-48.018185,-1.7637781,157.68652
-48.05846,-1.7587095,158.4568
-48.099064,-1.7527789,159.21786
-48.143375,-1.7468826,160.0307
-48.19082,-1.7424401,160.84305
-48.23261,-1.7378187,161.58473
-48.27642,-1.7332234,162.33865
-48.319393,-1.7282841,163.08282
-48.362434,-1.724434,163.8031
-48.41754,-1.717857,164.60161
-48.478306,-1.7114388,165.47507
-48.534092,-1.7083018,166.28752
-48.591076,-1.7050568,167.07228
-48.65777,-1.7029078,167.92372
-48.72814,-1.701933,168.82028
-48.799374,-1.7015088,169.72089
-48.870033,-1.6991835,170.62175
-48.944454,-1.6976631,171.58296
-49.01579,-1.6951599,172.50664
-49.08236,-1.6940266,173.38345
-49.13955,-1.6908283,174.1538
-49.195824,-1.6871657,174.89865
-49.249443,-1.6831411,175.61804
-49.304268,-1.6798452,176.32861
