x,y,z
-0.0054614064,-0.014464642,0.7681756
-0.0072963736,-0.029841444,1.5686455
-0.018214647,-0.0493938,2.5284905
-0.02598236,-0.06633715,3.329505
-0.039637074,-0.081915356,4.1140356
-0.05548816,-0.100341804,4.9295855
-0.06987885,-0.11724662,5.7188954
-0.08811502,-0.1321267,6.523429
-0.11016224,-0.15019855,7.3567066
-0.12992546,-0.16462223,8.077755
-0.15356015,-0.18058036,8.854429
-0.17691645,-0.19683786,9.662413
-0.20436467,-0.21539806,10.446484
-0.23057854,-0.23421192,11.2597275
-0.25635707,-0.2522604,12.034697
-0.2807247,-0.27023163,12.80809
-0.3112454,-0.28626457,13.586457
-0.34648332,-0.30688128,14.3857355
-0.379123,-0.32286873,15.14955
-0.4148753,-0.33860612,15.93937
-0.4564406,-0.35661483,16.721035
-0.49972743,-0.37438822,17.672398
-0.53531474,-0.3930637,18.451351
-0.5750091,-0.41503894,19.256601
-0.62132233,-0.43785727,20.193796
-0.6617537,-0.4601184,21.12496
-0.7028696,-0.48568827,22.110945
-0.739824,-0.50796103,23.052399
-0.7769483,-0.53198713,24.011396
-0.81033206,-0.55597115,24.951136
-0.8443034,-0.5801826,25.881456
-0.8766483,-0.6046174,26.804546
-0.90578926,-0.62940574,27.766338
-0.9372784,-0.65594894,28.733612
-0.9665616,-0.6768648,29.486752
-1.0077018,-0.7087783,30.641424
-1.0489593,-0.74280286,31.764591
-1.0906442,-0.7730177,32.906967
-1.1361929,-0.8051888,34.059673
-1.1849773,-0.8405087,35.210182
-1.2330551,-0.8713514,36.13817
-1.2872584,-0.9033335,37.133774
-1.3518646,-0.9358699,38.245434
-1.420814,-0.97186375,39.386433
-1.491668,-1.0102688,40.5344
-1.5625037,-1.0451139,41.666935
-1.6385456,-1.0810392,42.77683
-1.7091389,-1.1168898,43.892086
-1.786045,-1.1517743,44.920586
-1.861574,-1.1849616,45.877228
-1.9472934,-1.2222474,46.99922
-2.0379868,-1.2604053,48.127083
-2.1315937,-1.2998474,49.267284
-2.2292745,-1.3416027,50.392258
-2.309556,-1.3751099,51.35178
-2.3891518,-1.4096978,52.322247
-2.4646144,-1.4440193,53.301334
-2.5399745,-1.4761547,54.24395
-2.6116016,-1.5089707,55.169147
-2.683972,-1.542002,56.097145
-2.7530582,-1.5777284,57.04811
-2.822161,-1.6140721,57.986023
-2.8854856,-1.6464094,58.799946
-2.9469762,-1.6772114,59.563343
-3.0168035,-1.7144674,60.510597
-3.0868123,-1.7518052,61.45409
-3.1548607,-1.7899653,62.384632
-3.222802,-1.8291684,63.37078
-3.30303,-1.8786851,64.51369
-3.387479,-1.9267659,65.665405
-3.4569497,-1.9659585,66.613754
-3.5275016,-2.0047646,67.568146
-3.5964916,-2.0447786,68.52285
-3.6617908,-2.0858166,69.44378
-3.7201557,-2.1210074,70.23402
-3.792641,-2.1626482,71.18989
-3.8540764,-2.2040074,72.13037
-3.9370604,-2.2547936,73.26634
-4.0073647,-2.2948534,74.1892
-4.077406,-2.3348265,75.108246
-4.1422215,-2.3778794,76.06172
-4.2109404,-2.4211533,77.03234
-4.275066,-2.4669263,78.005905
-4.3413305,-2.5101948,78.95838
-4.403306,-2.5545595,79.87927
-4.461555,-2.5974796,80.80473
-4.5207314,-2.6426883,81.74973
-4.571284,-2.6835504,82.557434
-4.624238,-2.7302792,83.4956
-4.678288,-2.7783754,84.46089
-4.7126675,-2.8175566,85.20492
-4.761629,-2.865103,86.14363
-4.7942786,-2.9170678,87.12403
-4.796433,-2.954233,87.668335
-4.7964325,-2.990878,88.2577
-4.78661,-3.023313,88.791756
-4.7589974,-3.0486116,89.11984
-4.7184305,-3.0732617,89.46089
-4.629953,-3.1084695,89.98768
-4.561769,-3.1380887,90.36817
-4.5909705,-3.1532638,90.32383
-4.56848,-3.1684206,90.48389
-4.54474,-3.186375,90.5406
-4.5260906,-3.2040925,90.64243
-4.5018783,-3.2229211,90.777176
-4.475133,-3.2406096,90.89096
-4.485963,-3.247407,90.82401
-4.453766,-3.2654574,90.9198
-4.4180884,-3.2867236,91.0044
-4.2951007,-3.3078048,91.2952
-4.225565,-3.3346202,91.50083
-4.0336075,-3.3636575,91.950615
-3.8499494,-3.385616,92.31869
-3.6268294,-3.4182904,92.73821
-3.4287095,-3.4428208,93.04003
-3.4058073,-3.4498062,93.06747
-3.4489932,-3.4457397,92.98973
-3.2884164,-3.4632893,93.216675
-3.1037645,-3.4892507,93.49269
-2.8108892,-3.531851,93.96822
-2.3983817,-3.5865858,94.62768
-1.9672003,-3.6375973,95.28539
-1.545113,-3.6864152,95.88534
-1.1068949,-3.7378964,96.49248
-0.67670286,-3.7866764,97.08772
-0.20425993,-3.8370328,97.71013
0.26543185,-3.8877509,98.30807
0.6269255,-3.9274507,98.73649
0.9978514,-3.9680557,99.17354
1.3966593,-4.0088654,99.630936
1.8269064,-4.051332,100.10913
2.2295392,-4.094844,100.54947
2.6154046,-4.134263,100.9528
2.9868798,-4.1743813,101.31816
3.3871999,-4.211417,101.726105
3.9495645,-4.260185,102.300354
4.488503,-4.309036,102.85426
4.92106,-4.351792,103.28224
5.2661414,-4.3904147,103.61951
5.6853023,-4.4321938,104.02052
6.2547026,-4.485498,104.59407
6.7846,-4.5366726,105.13214
7.364649,-4.5902057,105.71205
7.900249,-4.641052,106.25367
8.438446,-4.6923375,106.80112
8.970208,-4.744484,107.33465
9.517475,-4.7980113,107.89241
10.193989,-4.8686767,108.58761
10.71718,-4.9220877,109.13262
11.281963,-4.9809265,109.71914
11.80428,-5.03425,110.26283
12.330761,-5.0888925,110.81459
13.01857,-5.159318,111.524025
13.55293,-5.215383,112.08127
14.102842,-5.2745724,112.65594
14.641349,-5.332569,113.22228
15.17607,-5.391858,113.78133
15.825794,-5.459709,114.45459
16.50784,-5.5309234,115.16154
17.19212,-5.6055064,115.86369
17.882095,-5.6776166,116.57138
18.547684,-5.74845,117.25089
19.206688,-5.81756,117.91829
19.883352,-5.8864727,118.6088
20.537058,-5.952421,119.2676
21.228193,-6.021534,119.947975
21.924448,-6.089459,120.62155
22.62905,-6.158995,121.28593
23.346676,-6.228834,121.94774
24.04975,-6.2999544,122.588264
24.574501,-6.3545694,123.05083
25.148197,-6.4143386,123.547134
25.667381,-6.4684415,123.99332
26.259684,-6.531433,124.48591
26.802862,-6.5878983,124.92621
27.521345,-6.657767,125.51683
28.25955,-6.728205,126.119354
29.017689,-6.8011084,126.73797
29.762949,-6.8722434,127.34207
30.32161,-6.931546,127.780876
31.07339,-7.004701,128.37279
31.68297,-7.065854,128.85898
32.312572,-7.1301527,129.35689
32.93665,-7.195677,129.85397
33.549873,-7.2570148,130.34305
34.144478,-7.3179703,130.8209
34.750202,-7.3801928,131.30653
35.634655,-7.4729357,132.01663
36.380463,-7.5524535,132.62415
37.107567,-7.630351,133.2223
37.844162,-7.7096195,133.83514
38.410976,-7.7736516,134.33203
38.798786,-7.820349,134.67647
39.36352,-7.8880033,135.19646
39.940254,-7.957724,135.74985
40.333458,-8.007302,136.13692
40.739895,-8.055174,136.53699
41.217064,-8.115985,137.01595
41.450066,-8.154019,137.25748
41.69441,-8.190772,137.50996
41.58417,-8.189043,137.42508
41.585114,-8.200069,137.41864
41.646145,-8.215946,137.47945
41.747883,-8.2369585,137.58133
41.778477,-8.256319,137.60007
41.85254,-8.276034,137.66551
41.94148,-8.2957,137.72766
41.83706,-8.2911415,137.6809
41.91657,-8.315261,137.75664
41.90435,-8.325573,137.78719
42.05209,-8.357007,138.01051
42.17709,-8.381621,138.1282
42.572033,-8.441447,138.58556
42.60437,-8.455919,138.62509
42.831226,-8.493823,138.88792
42.9473,-8.525859,139.03304
43.238823,-8.582103,139.37924
43.656467,-8.65285,139.87706
43.99265,-8.710493,140.29391
44.355644,-8.769894,140.74937
44.777424,-8.842119,141.2791
45.256104,-8.923867,141.88336
45.74276,-9.008726,142.49869
46.25529,-9.096089,143.15028
46.75649,-9.182972,143.78073
47.240696,-9.267383,144.39848
47.613605,-9.335063,144.84575
48.009083,-9.402971,145.32774
48.38078,-9.4685545,145.74974
48.885757,-9.554383,146.35155
49.389835,-9.638472,146.95564
