x,y,z
-0.009076115,-0.059462644,3.3725634
0.00863703,-0.119942814,6.6070147
0.036565736,-0.1978423,9.93691
0.09673819,-0.27713567,13.463484
0.17988122,-0.3560709,16.992353
0.26339516,-0.42658332,20.32229
0.35337028,-0.49323386,23.724789
0.4624083,-0.5650016,27.142273
0.5836671,-0.6337544,30.500994
0.7483405,-0.7090276,34.161148
0.93296784,-0.7817859,37.384655
1.1413672,-0.8539999,40.604618
1.3467301,-0.9151279,43.515274
1.5834986,-0.9717314,46.566357
1.8809556,-1.0238028,49.92334
2.1863441,-1.0759887,52.989548
2.6029577,-1.1422448,56.24465
3.1540606,-1.2134659,59.921314
3.6933045,-1.2774668,63.22357
4.292882,-1.3318311,66.811874
4.890053,-1.3952824,70.19914
5.4921117,-1.4494208,73.35041
6.182405,-1.4949256,76.81468
6.888644,-1.5286553,80.155785
7.6694803,-1.5596522,83.65358
8.485673,-1.5818932,87.13772
9.314954,-1.6061827,90.50441
10.12452,-1.626291,93.654724
11.02502,-1.6477323,97.1234
11.8810425,-1.6646045,100.36535
12.771159,-1.6850448,103.66691
13.691082,-1.6884295,106.973755
14.533232,-1.6887116,109.83709
15.463875,-1.6856774,112.87231
16.346443,-1.6772189,115.66845
17.331089,-1.6676991,118.66809
18.33579,-1.6552887,121.64379
19.370817,-1.6334684,124.612595
20.500725,-1.6175973,127.81049
21.649933,-1.5934843,130.97453
22.81927,-1.5684956,134.10582
23.97575,-1.5525335,137.12404
25.01608,-1.5326515,139.78006
26.252687,-1.5216471,142.80902
27.563656,-1.5039376,145.91974
28.982227,-1.4787775,149.23422
30.428776,-1.4548382,152.5434
31.917603,-1.4297137,155.83257
33.261955,-1.4030756,158.75375
34.736645,-1.370726,161.90419
36.155468,-1.3393077,164.85713
37.648834,-1.2982088,167.88309
39.161366,-1.2704748,170.89185
40.49503,-1.2455299,173.45905
41.924557,-1.206967,176.18153
43.187847,-1.1750073,178.54373
44.598083,-1.1393731,181.11165
45.9516,-1.1062553,183.524
47.26089,-1.0707722,185.79865
48.521496,-1.0378222,187.92033
49.853935,-1.000758,190.08546
51.232708,-0.9623555,192.24535
51.799206,-0.9557587,192.98978
52.548668,-0.9418222,193.96066
53.22594,-0.9286754,194.77722
53.897724,-0.9244609,195.45522
54.69598,-0.92041576,196.20735
55.598152,-0.91258544,197.03674
57.31205,-0.89477015,198.5569
59.827362,-0.8631219,200.71803
62.312584,-0.82718873,202.84052
64.95075,-0.77707076,205.05583
67.473366,-0.7340645,207.17186
69.78417,-0.68414325,209.07457
72.101685,-0.6358787,210.92342
74.329666,-0.59405184,212.6585
76.58444,-0.5464211,214.39622
78.6422,-0.4960716,215.93663
80.87241,-0.4396922,217.56331
83.29974,-0.37671137,219.2783
86.00813,-0.2956971,221.12717
88.62054,-0.21958603,222.81345
91.19352,-0.1277907,224.3653
93.88941,-0.036395535,225.90901
97.025185,0.07117053,227.69417
100.479744,0.20683789,229.65744
103.89678,0.33077952,231.60173
107.3518,0.46057314,233.52472
110.55,0.5828406,235.28923
113.49879,0.70037663,236.8978
115.85398,0.8049456,238.15225
118.26283,0.914724,239.41417
120.706604,1.0328373,240.6682
122.78049,1.1266557,241.70679
124.79408,1.2187276,242.65877
127.00598,1.3252549,243.64432
129.12152,1.4265523,244.52014
130.96695,1.5141059,245.24304
132.04381,1.5456419,245.53925
134.13976,1.6291275,246.13306
136.6437,1.7311983,246.77626
139.35663,1.8495752,247.39763
142.04704,1.9648713,247.94052
144.96642,2.0925977,248.48276
148.21506,2.2379613,249.04153
151.02106,2.3600874,249.47429
154.17561,2.5021362,249.90402
157.10915,2.6437328,250.26712
160.39494,2.8056626,250.66656
163.8656,2.9833105,251.09445
167.9332,3.1857665,251.56885
171.93968,3.3781102,252.0262
175.21367,3.540558,252.41019
179.31163,3.7473845,252.89653
183.3241,3.9478016,253.39027
187.32947,4.1485505,253.88211
191.92378,4.3978944,254.4281
195.96672,4.6286674,254.90381
200.02933,4.87115,255.35576
203.26964,5.0626836,255.68839
206.80463,5.265528,256.02332
210.33336,5.4712796,256.33655
214.3443,5.7061124,256.66104
217.98969,5.933663,256.92477
221.33682,6.1347027,257.14062
224.76437,6.336266,257.3424
228.28552,6.5412393,257.53583
231.6502,6.7483616,257.70078
235.023,6.9578695,257.839
238.42964,7.171618,257.97522
241.59712,7.364564,258.10306
244.87593,7.5596013,258.22366
248.29752,7.77168,258.3168
251.54594,7.9694147,258.39584
254.75037,8.156693,258.46802
258.2352,8.373695,258.52838
261.6837,8.588183,258.5641
265.1856,8.802341,258.57916
268.577,9.007034,258.56915
271.69275,9.198858,258.5305
275.02393,9.405142,258.4829
278.4002,9.62704,258.43683
282.0245,9.8704,258.3567
285.24002,10.089191,258.26428
288.53412,10.315667,258.1484
291.5584,10.520278,258.01794
294.8613,10.743248,257.84723
298.1518,10.974921,257.65564
301.52682,11.204907,257.4272
304.9204,11.429081,257.16595
308.0092,11.631669,256.91782
311.2333,11.852177,256.64853
314.60983,12.096612,256.34207
317.9548,12.33943,256.0292
321.50162,12.594727,255.71056
324.90714,12.838075,255.39568
327.87195,13.049997,255.09537
330.81415,13.263089,254.78801
333.15338,13.427096,254.50389
335.9933,13.629343,254.12515
339.24332,13.869716,253.64954
341.9884,14.0785885,253.22078
344.4327,14.265646,252.78885
347.45758,14.489721,252.21999
351.55563,14.7957,251.4288
355.3607,15.072458,250.70041
358.9244,15.349532,249.98894
362.40125,15.611619,249.27246
365.75473,15.87369,248.56413
369.09955,16.130703,247.83525
372.2922,16.381184,247.12643
375.4647,16.627514,246.39719
378.62866,16.87376,245.65349
381.94785,17.13754,244.87263
385.65854,17.429865,243.99403
389.39893,17.729574,243.09967
392.98395,18.017582,242.22102
397.12912,18.355482,241.21242
400.9031,18.67056,240.29454
404.30145,18.948023,239.45955
407.29486,19.195879,238.70589
410.36322,19.455557,237.91914
413.68967,19.741459,237.06387
417.1446,20.04546,236.15076
420.59528,20.336779,235.22746
423.69766,20.593452,234.36285
426.51825,20.829498,233.56047
429.60297,21.0883,232.67216
432.15112,21.304585,231.9153
434.60538,21.504555,231.17601
437.12842,21.712975,230.39363
439.98984,21.956234,229.4915
442.83353,22.203098,228.58363
445.5539,22.43872,227.6892
448.2545,22.67095,226.7889
450.79312,22.887812,225.92674
453.6553,23.136326,224.9296
456.13345,23.353289,224.03957
458.33618,23.543554,223.2254
460.67856,23.748798,222.32333
463.05713,23.964602,221.37112
465.46042,24.184319,220.3838
467.77362,24.396576,219.4061
470.45587,24.647425,218.25009
472.9849,24.884739,217.14243
475.473,25.115301,216.03111
478.19144,25.376932,214.81248
480.79404,25.618711,213.63167
483.59198,25.882261,212.31714
486.52396,26.160551,210.9301
489.53415,26.452206,209.4698
492.42538,26.731287,208.05347
494.91678,26.977186,206.81332
497.8612,27.264845,205.33658
500.56247,27.529703,203.95953
502.7706,27.742178,202.8027
505.38815,27.99077,201.37268
508.31357,28.276348,199.74423
511.4367,28.593946,197.97482
514.42365,28.900164,196.27705
516.862,29.150648,194.89351
519.8008,29.453028,193.19545
522.7553,29.751696,191.45895
525.5794,30.037764,189.7847
528.31854,30.31881,188.12172
531.55054,30.647385,186.14444
534.4768,30.947395,184.3309
537.48987,31.257036,182.45262
540.7542,31.603226,180.38379
543.4406,31.882385,178.63452
546.3022,32.174755,176.71516
549.413,32.50136,174.60733
552.1718,32.797386,172.70332
554.81573,33.085342,170.86996
557.2489,33.33872,169.17155
560.0118,33.631454,167.23915
562.91986,33.939995,165.18826
565.5552,34.231255,163.28946
568.2233,34.52185,161.32233
570.82336,34.80259,159.37106
573.2538,35.07124,157.51414
576.316,35.409832,155.10751
579.2001,35.72378,152.7779
581.7896,36.00628,150.65419
584.32965,36.287834,148.53043
586.7644,36.558273,146.43925
589.2498,36.83326,144.27486
591.76794,37.114326,142.04193
594.1864,37.39297,139.90083
596.7037,37.68874,137.63226
599.2483,37.984097,135.30437
601.3795,38.23844,133.32014
603.3606,38.47828,131.44014
605.39374,38.723473,129.47751
607.16907,38.925167,127.672615
608.7444,39.102333,126.00185
610.3171,39.277496,124.25076
611.8177,39.4452,122.494484
613.066,39.581955,120.94869
614.2562,39.711655,119.418495
615.4263,39.8376,117.82432
616.71857,39.978893,115.977554
618.47516,40.172646,113.38557
620.309,40.37289,110.6398
622.15625,40.58063,107.8595
623.9979,40.80243,105.062
625.52484,40.976604,102.65631
627.2336,41.176205,99.87996
628.8348,41.367092,97.168274
630.62805,41.574196,94.06807
632.379,41.781147,90.990814
633.9689,41.972652,88.132675
635.6445,42.172127,85.10591
637.32214,42.36846,81.97104
638.7823,42.527958,79.22759
640.3796,42.714664,76.14007
641.7724,42.876244,73.37171
643.27106,43.049644,70.286385
644.85767,43.24517,66.97846
646.2465,43.41177,64.04318
647.77234,43.602394,60.801384
649.2792,43.78483,57.563766
650.77905,43.977367,54.287186
652.1881,44.14705,51.165447
653.5194,44.308098,48.174953
654.8766,44.47634,45.097218
656.27527,44.661156,41.89694
657.61707,44.834965,38.762474
658.99896,45.013298,35.43683
660.2347,45.165966,32.349895
661.36597,45.301277,29.358158
662.344,45.418163,26.693098
663.42847,45.546486,23.646515
664.45447,45.663414,20.6694
665.63983,45.80617,17.121666
666.6582,45.936523,13.935622
667.5404,46.04752,11.035495
668.5625,46.176235,7.5511384
669.49585,46.299294,4.254548
670.52325,46.43437,0.4251845
671.4657,46.569275,-3.269882
672.3623,46.697285,-6.9503994
673.2879,46.824085,-10.943253
674.07294,46.934093,-14.502152
674.81476,47.03606,-17.99925
675.52466,47.12764,-21.61082
676.22864,47.22428,-25.401243
676.8743,47.31269,-28.997253
677.45496,47.389423,-32.356926
678.02924,47.465,-35.83049
678.5486,47.53868,-39.18745
679.0855,47.615566,-42.994484
679.5113,47.676525,-46.236275
679.94025,47.741688,-49.62198
680.3458,47.80981,-53.016697
680.7517,47.868534,-56.463467
681.12964,47.922813,-59.878273
681.4295,47.96608,-63.13083
681.73474,48.002384,-66.91651
681.9781,48.032112,-70.36697
682.16376,48.04626,-73.58514
682.3397,48.05521,-76.95369
682.459,48.05771,-79.64814
682.59686,48.059704,-82.97279
682.69763,48.05073,-86.25663
682.77734,48.046337,-89.74313
682.8417,48.03997,-93.39609
682.8754,48.035885,-96.49081
682.9082,48.042274,-99.84051
682.9003,48.03758,-103.075424
682.8302,48.02956,-105.818886
682.7096,48.008835,-108.92717
682.56104,47.979298,-112.143135
682.37866,47.950314,-115.36252
682.1705,47.916214,-118.1819
681.9056,47.872635,-121.32268
681.6249,47.833427,-124.504456
681.2571,47.776,-128.18623
680.8718,47.70965,-131.76907
680.43835,47.64846,-135.40001
679.99146,47.59059,-138.81517
679.54834,47.544907,-142.01077
679.01636,47.500053,-145.6303
678.5357,47.461502,-148.85118
678.0351,47.42251,-152.14612
677.50806,47.376644,-155.57536
676.9468,47.323727,-159.15446
676.36255,47.261757,-162.68922
675.7351,47.209892,-166.31723
675.0012,47.15906,-170.27449
674.34094,47.10183,-173.60191
673.61,47.04157,-177.16637
672.8747,46.986885,-180.53424
672.112,46.92453,-183.7942
671.27686,46.852203,-187.26715
670.5071,46.77792,-190.29123
669.57416,46.695827,-193.74629
668.63617,46.60009,-197.1117
667.9341,46.531513,-199.59125
667.0881,46.45247,-202.52054
666.2139,46.36801,-205.49113
665.2526,46.275677,-208.71806
664.2805,46.173454,-211.92462
663.3206,46.072727,-215.01033
662.49097,45.97769,-217.60507
661.5986,45.876152,-220.32979
660.80505,45.785225,-222.69104
660.1149,45.695007,-224.64525
659.3381,45.596798,-226.68478
658.4934,45.483932,-228.80261
657.5585,45.35514,-230.97672
656.5496,45.215992,-233.17111
655.5162,45.067448,-235.30275
654.4121,44.915157,-237.44812
653.3077,44.759007,-239.5316
652.3262,44.606243,-241.24176
651.13446,44.424805,-243.22923
649.9291,44.237434,-245.16833
