x,y,z
-0.011011021,-0.017121641,0.96171314
-0.016995292,-0.03304159,1.9248852
-0.031067025,-0.06341854,2.8880541
-0.044627387,-0.095036216,3.8483124
-0.05337243,-0.12221731,4.806552
-0.06458551,-0.14487052,5.738959
-0.075427935,-0.15356731,6.6763964
-0.08936431,-0.1678814,7.6061587
-0.10130343,-0.17916611,8.535488
-0.114131734,-0.18658479,9.465869
-0.12755744,-0.19163007,10.38892
-0.14219457,-0.19971846,11.339521
-0.15488139,-0.21556005,12.22345
-0.16931239,-0.23548575,13.13325
-0.18490641,-0.26025212,14.04136
-0.1992847,-0.27605727,14.945519
-0.21694839,-0.28511044,15.846268
-0.2367131,-0.29336086,16.743088
-0.2548522,-0.29824376,17.634838
-0.27307805,-0.30440536,18.526838
-0.29374352,-0.31384003,19.414188
-0.3146036,-0.323688,20.294777
-0.3335671,-0.32203957,21.168894
-0.35177508,-0.3205087,22.037922
-0.3725492,-0.31721827,22.90088
-0.39336857,-0.31592634,23.757719
-0.41210374,-0.31402382,24.615417
-0.428033,-0.30573803,25.442167
-0.44740257,-0.2988489,26.266197
-0.4690777,-0.2930487,27.080355
-0.4916233,-0.29340482,27.876957
-0.5147238,-0.29827645,28.669558
-0.5377292,-0.30303833,29.454695
-0.56105065,-0.3024558,30.226635
-0.58371025,-0.2893163,30.993235
-0.6098832,-0.2849457,31.753294
-0.63734776,-0.28595787,32.497433
-0.6694975,-0.29131514,33.234882
-0.7070288,-0.29809847,33.962265
-0.74759793,-0.30118045,34.703514
-0.7861237,-0.30129823,35.39315
-0.82250154,-0.29349974,36.08571
-0.8579748,-0.28455967,36.773357
-0.89798445,-0.28292182,37.449184
-0.9356944,-0.27534992,38.111214
-0.9662445,-0.26439482,38.763523
-0.99406904,-0.2590329,39.4006
-1.0229677,-0.2546905,40.03745
-1.0545716,-0.2561412,40.686794
-1.0827795,-0.25599885,41.292076
-1.1073474,-0.25424346,41.890854
-1.1274632,-0.25049222,42.475647
-1.1432253,-0.24727543,43.044205
-1.1565232,-0.24612595,43.592342
-1.1636953,-0.24633022,44.119423
-1.1653112,-0.2460306,44.627003
-1.1652813,-0.24015638,45.110424
-1.1621192,-0.23484972,45.574417
-1.153911,-0.23686554,46.013905
-1.1397038,-0.23802954,46.43557
-1.1191095,-0.239525,46.83261
-1.0981573,-0.23917407,47.204494
-1.0777411,-0.2387519,47.567253
-1.0594862,-0.24041481,47.878338
-1.0361323,-0.2443978,48.17657
-1.0062623,-0.2532699,48.450813
-0.9730954,-0.2607765,48.716476
-0.9369545,-0.26758856,48.97551
-0.897745,-0.27344176,49.232307
-0.8567408,-0.28056723,49.486996
-0.80842984,-0.28609145,49.74961
-0.75771004,-0.29157066,49.986057
-0.6971557,-0.2967612,50.230484
-0.62965304,-0.30229008,50.47723
-0.562623,-0.3067836,50.70717
-0.48891836,-0.31170544,50.945194
-0.40748957,-0.3179078,51.181385
-0.31721446,-0.32550347,51.420094
-0.22124082,-0.33407888,51.6592
-0.11471022,-0.34395295,51.900646
0.00027664006,-0.35449496,52.129723
0.13095649,-0.36427128,52.35585
0.27603638,-0.37339318,52.580345
0.42798257,-0.3824338,52.800198
0.5907976,-0.39190626,53.018898
0.7701139,-0.4025967,53.243996
0.96524125,-0.4147594,53.472687
1.1722969,-0.4302523,53.69457
1.4017179,-0.44673955,53.926624
1.6582677,-0.4647121,54.1533
1.9460862,-0.47763902,54.36884
2.269735,-0.47776815,54.58503
2.6126883,-0.48321882,54.789677
2.9737709,-0.47927505,54.983635
3.3592696,-0.48608845,55.169365
3.7661526,-0.49139148,55.33518
4.1983676,-0.51661897,55.483707
4.6414227,-0.539617,55.6182
5.1037264,-0.5645917,55.721176
5.5855436,-0.5957729,55.802017
6.0885277,-0.626679,55.855915
6.61238,-0.6532407,55.90254
7.126385,-0.68213016,55.937634
7.658639,-0.72428834,55.95386
8.20959,-0.77378464,55.971085
8.774954,-0.8137504,55.977245
9.351671,-0.8573787,55.98297
9.933255,-0.9020612,55.981556
10.53768,-0.9473737,55.979572
11.13755,-0.99653864,55.97874
11.755019,-1.0552537,55.96278
12.38277,-1.1171937,55.92928
13.020281,-1.1679767,55.902786
13.673092,-1.2175239,55.883045
14.333582,-1.2695379,55.858257
15.013224,-1.317429,55.821228
15.697992,-1.3661172,55.778748
16.387194,-1.4170613,55.740486
17.082533,-1.4623544,55.702927
17.78473,-1.5024374,55.67185
18.504694,-1.5457467,55.642754
19.241564,-1.5939088,55.614784
19.978252,-1.647725,55.590027
20.712822,-1.6967258,55.568798
21.438513,-1.741687,55.53664
22.167152,-1.7879331,55.509865
22.903336,-1.8390774,55.50513
23.632175,-1.8957764,55.5014
24.373325,-1.9558024,55.484303
25.111658,-2.0084727,55.463387
