x,y,z
-0.022461371,-0.03590473,2.0377383
-0.06691019,-0.07252615,4.105092
-0.13584864,-0.103313714,6.1629505
-0.23098992,-0.13515298,8.475661
-0.34791467,-0.16856396,10.876328
-0.4904598,-0.20959282,13.57363
-0.6310989,-0.24303034,16.071424
-0.78088915,-0.27858728,18.638044
-0.9512008,-0.31541595,21.431879
-1.1324502,-0.35200977,24.12932
-1.3243778,-0.3846044,26.768934
-1.5360682,-0.4129248,29.396765
-1.7450155,-0.43129244,31.716991
-1.9183853,-0.45225117,33.595604
-2.1504695,-0.47795156,36.00152
-2.3930402,-0.49903843,38.41983
-2.6355276,-0.5192227,40.827404
-2.868614,-0.54151046,43.030075
-3.096605,-0.5627633,45.0308
-3.333252,-0.574553,46.94569
-3.6005301,-0.59189236,48.97923
-3.9265985,-0.61108506,51.424225
-4.289282,-0.6319854,53.97317
-4.64222,-0.65867126,56.43667
-5.0151825,-0.69258624,59.00047
-5.3935485,-0.708115,61.501472
-5.7986865,-0.7242944,64.11565
-6.205894,-0.7438221,66.645744
-6.6391506,-0.7512709,69.17059
-7.0815187,-0.75759256,71.59501
-7.554299,-0.7750489,74.12889
-8.032902,-0.78814054,76.628044
-8.512058,-0.8057041,79.13959
-9.008972,-0.8038656,81.66599
-9.511382,-0.8096823,84.17688
-10.013302,-0.8289159,86.63238
-10.5332985,-0.83950126,89.05325
-11.037706,-0.8470941,91.33358
-11.559194,-0.8531482,93.68148
-12.045123,-0.8582269,95.86418
-12.574012,-0.86157006,98.20351
-13.054678,-0.86473066,100.28605
-13.532395,-0.8706124,102.29817
-14.050475,-0.87520325,104.510124
-14.651269,-0.8736046,107.03072
-15.227532,-0.88352275,109.39165
-15.820073,-0.893576,111.807045
-16.38676,-0.9019582,114.11541
-17.008646,-0.9132788,116.6177
-17.661257,-0.92312825,119.14138
-18.321123,-0.9326556,121.62788
-18.953308,-0.95433676,123.97298
-19.621714,-0.9739774,126.3863
-20.33575,-0.9987832,128.87347
-21.082623,-1.013025,131.45464
-21.737581,-1.0257391,133.70139
-22.446682,-1.0374433,136.10927
